PH_NUMBER	AREA_NAME	DISTRICT_NAME	ZONE_NAME	WARD_NAME	STAKE_NAME	ENGLISH_UNIT_NAME	REPORT_REQUIRED	ENGLISH_REQUIRED	GEOG_AREAS
0972576554	NORTH_JINHUA_E	WANDA	CENTRAL	JINHUA	CENTRAL	WANDA	1	1	ZHONGSHAN,TAIPEI,TAIBEI,中山區,台北,台北市,臺北,臺北市,中山
0972576562	WANDA_E	WANDA	CENTRAL	WANDA	CENTRAL	WANDA	1	1	ZHONGZHENG,WANHUA,中正區,萬華區
0972576559	WANDA_A_S	WANDA	CENTRAL	WANDA	CENTRAL	WANDA	1	1	DATONG,大同區
	WANDA_B_S	WANDA	CENTRAL	WANDA	CENTRAL	WANDA	0	0	
0972576561	XINAN_S	WANDA	CENTRAL	XINAN	CENTRAL		1	0	XINYI,信義區
0963809216	SANCHONG_E	SANCHONG	CENTRAL	SANCHONG	CENTRAL	SANCHONG	1	1	SANCHONG,三重,三重區
0972576587	SANCHONG_S	SANCHONG	CENTRAL	SANCHONG	CENTRAL	SANCHONG	1	1	SANCHONG,三重,三重區
0972576542	LUZHOU_A_E	SANCHONG	CENTRAL	LUZHOU	CENTRAL	SANCHONG	1	1	LUZHOU,WUGU,蘆洲,蘆洲區,五股,五股區
0972576577	TOUR_S	WANDA	CENTRAL	JINHUA	CENTRAL		1	0	DAAN,大安區
0965008522	LUZHOU_B_E	SANCHONG	CENTRAL	LUZHOU	CENTRAL	SANCHONG	1	1	LUZHOU,WUGU,蘆洲,蘆洲區,五股,五股區
0972576500	ASSISTANTS	XINAN	CENTRAL	XINAN	CENTRAL		1	0	DAAN,NEW_TAIPEI,大安區,新北市
0972576501	ASSISTANTS	XINAN	CENTRAL	XINAN	CENTRAL		1	0	DAAN,NEW_TAIPEI,大安區,新北市
0910358944	OFFICE_E	JINHUA	CENTRAL	JINHUA	CENTRAL		1	0	
0972576566	OFFICE_E	JINHUA	CENTRAL	JINHUA	CENTRAL		1	0	
0963938192	SONGSHAN_E	SONGSHAN	EAST	SONGSHAN	EAST	SONGSHAN	1	1	SONGSHAN,NANGANG,松山,松山區,南港,南港區
0963572706	SONGSHAN_S	SONGSHAN	EAST	SONGSHAN	EAST	SONGSHAN	1	1	SONGSHAN,松山區
0972576570	NEIHU_E	SONGSHAN	EAST	NEIHU	EAST	NEIHU	1	1	NEIHU,內湖區,內湖
0972576565	NEIHU_S	SONGSHAN	EAST	NEIHU	EAST	NEIHU	1	1	NEIHU,內湖區,內湖
0972576509	XIZHI_A_E	XIZHI	EAST	XIZHI	EAST	XIZHI	1	1	XIZHI,汐止區,汐止
0972576156	XIZHI_B_E	XIZHI	EAST	XIZHI	EAST	XIZHI	1	1	XIZHI,汐止區,汐止
0963873617	XIZHI_S	XIZHI	EAST	XIZHI	EAST	XIZHI	1	1	XIZHI,汐止區,汐止
