	A	B	C	D	NEXTWEEKBAP	BAP	CONF	BD	SAC	PK	OL	NIMISSFIND	NIMEMREF	RCLA	LAC	RCT
2016:1:2:7:MISSION	19	22	107	225	42	11	1	479	0	373	529	214	0	168	0	1
2016:1:4:7:MISSION	14	19	130	243	63	13	10	538	150	668	1056	447	0	367	99	5
2016:1:5:7:MISSION	7	14	143	227	10	17	17	516	165	641	1117	423	0	373	109	8
2016:2:1:7:MISSION	8	17	147	238	1	3	2	545	123	635	1127	452	8	360	89	6
2016:2:2:7:MISSION	10	26	136	211	15	4	5	524	190	503	927	429	41	353	138	2
2016:2:3:7:MISSION	9	24	142	204	17	13	12	539	213	738	997	503	28	381	148	11
2016:2:4:7:MISSION	8	22	137	218	15	15	12	522	229	690	867	437	54	367	137	1
2016:3:1:7:MISSION	6	22	150	209	11	8	10	521	232	721	857	438	37	416	141	14
2016:3:2:7:MISSION	3	20	174	211	11	8	9	514	193	630	879	407	37	410	141	3
2016:3:3:7:MISSION	9	21	144	228	15	4	4	531	222	684	982	522	30	390	153	8
