	BAP_MISS_FIND	BAP_LA_REF	BAP_RC_REF	BAP_MEM_REF	BAP_ENGLISH	BAP_TOUR
2016:1:0:0:CENTRAL	12	0	0	10	0	0
2016:1:0:0:EAST	7	0	0	5	0	0
2016:1:0:0:HSINCHU	5	0	0	6	2	0
2016:1:0:0:HUALIEN	14	0	0	1	2	0
2016:1:0:0:NORTH	3	0	0	3	0	0
2016:1:0:0:SOUTH	5	0	0	5	2	0
2016:1:0:0:TAOYUAN	10	0	0	10	2	1
2016:1:0:0:WEST	7	0	0	3	1	1
2016:2:0:0:CENTRAL	0	0	0	0	0	1
2016:2:0:0:EAST	0	1	0	1	0	0
2016:2:0:0:HSINCHU	2	0	0	0	1	0
2016:2:0:0:HUALIEN	4	0	0	0	0	0
2016:2:0:0:NORTH	1	0	0	0	0	0
2016:2:0:0:SOUTH	2	0	0	0	0	0
2016:2:0:0:TAOYUAN	0	0	0	1	0	0
2016:2:0:0:WEST	0	0	0	0	0	0
2016:3:0:0:0:HSINCHU	1	0	0	0	0	0
2016:3:0:0:0:HUALIEN	2	0	0	0	0	0
2016:3:0:0:0:SOUTH	3	0	0	0	0	0
2016:3:0:0:0:TAOYUAN	2	0	0	0	0	0
2016:3:0:0:CENTRAL	0	1	0	0	0	0
2016:3:0:0:HUALIEN	3	0	0	0	0	0
2016:3:0:0:TAOYUAN	4	0	0	0	0	0
