	BAP_MISS_FIND	BAP_LA_REF	BAP_RC_REF	BAP_MEM_REF	BAP_ENGLISH	BAP_TOUR
2016:2:0:0:ANKANG	1	0	0	0	0	0
2016:2:0:0:BADE	0	0	0	1	0	0
2016:2:0:0:DANSHUI	1	0	0	0	0	0
2016:2:0:0:HUALIAN_1	2	0	0	0	0	0
2016:2:0:0:HUALIAN_3	1	0	0	0	0	0
2016:2:0:0:JILONG	0	1	0	0	0	0
2016:2:0:0:JINGXIN	1	0	0	0	0	0
2016:2:0:0:JINHUA	0	0	0	0	0	1
2016:2:0:0:MUZHA	0	0	0	0	0	0
2016:2:0:0:TAIDONG_2	1	0	0	0	0	0
2016:2:0:0:TUCHENG	0	0	0	0	0	0
2016:2:0:0:XINDIAN	0	0	0	0	0	0
2016:2:0:0:XINZHU_1	1	0	0	0	0	0
2016:2:0:0:XIZHI	0	0	0	1	0	0
2016:2:0:0:ZHUBEI_1	0	0	0	0	1	0
2016:2:0:0:ZHUBEI_2	1	0	0	0	0	0
2016:2:0:0:ZHUDONG	0	0	0	0	0	0
2016:3:0:0:0:JINGXIN	1	0	0	0	0	0
2016:3:0:0:0:MUZHA	1	0	0	0	0	0
2016:3:0:0:0:TAIDONG_3	2	0	0	0	0	0
2016:3:0:0:0:TAOYUAN_1	1	0	0	0	0	0
2016:3:0:0:0:TAOYUAN_2	1	0	0	0	0	0
2016:3:0:0:0:XIANGSHAN	1	0	0	0	0	0
2016:3:0:0:0:YONGHE	1	0	0	0	0	0
2016:3:0:0:JINGXIN	0	0	0	0	0	0
2016:3:0:0:JINHUA	0	1	0	0	0	0
2016:3:0:0:TAIDONG_3	3	0	0	0	0	0
2016:3:0:0:TAOYUAN_1	2	0	0	0	0	0
2016:3:0:0:TAOYUAN_2	2	0	0	0	0	0
