	BAP_MISS_FIND	BAP_LA_REF	BAP_RC_REF	BAP_MEM_REF	BAP_ENGLISH	BAP_TOUR
2016:2:3:7:CENTRAL	0	0	0	0	0	1
2016:2:3:7:EAST	0	1	0	1	0	0
2016:2:3:7:HUALIAN	2	0	0	0	0	0
2016:2:3:7:SOUTH	0	0	0	0	0	0
2016:2:3:7:WEST	0	0	0	0	0	0
2016:2:3:7:XINZHU	1	0	0	0	0	0
2016:2:4:7:HUALIAN	1	0	0	0	0	0
2016:2:4:7:NORTH	1	0	0	0	0	0
2016:2:4:7:SOUTH	2	0	0	0	0	0
2016:2:4:7:TAIDONG	1	0	0	0	0	0
2016:2:4:7:TAOYUAN	0	0	0	1	0	0
2016:2:4:7:XINZHU	1	0	0	0	1	0
2016:3:1:7:0:SOUTH	3	0	0	0	0	0
2016:3:1:7:0:TAIDONG	2	0	0	0	0	0
2016:3:1:7:0:TAOYUAN	2	0	0	0	0	0
2016:3:1:7:0:ZHUNAN	1	0	0	0	0	0
2016:3:1:7:OFFICE	0	1	0	0	0	0
2016:3:1:7:SOUTH	0	0	0	0	0	0
2016:3:1:7:TAIDONG	3	0	0	0	0	0
2016:3:1:7:TAOYUAN	4	0	0	0	0	0
