	CLASSLEVEL	NEWINV	NEWSTUDENTS	TOTALNONMEM	TOTALSTUDENTS
2016:2:0:0:0:ANKANG	-	0	10	22	27
2016:2:0:0:0:BADE	-	0	14	27	43
2016:2:0:0:0:BEITOU	-	2	9	11	17
2016:2:0:0:0:DANFENG	Beggin	0	2	4	5
2016:2:0:0:0:DANSHUI	-	1	6	16	28
2016:2:0:0:0:GUISHAN	begin.	1	7	13	21
2016:2:0:0:0:HUALIAN_1	-	0	4	24	26
2016:2:0:0:0:HUALIAN_3	-	0	3	22	24
2016:2:0:0:0:JILONG	-	1	7	16	19
2016:2:0:0:0:JINGXIN	-	0	8	17	21
2016:2:0:0:0:JINHUA	-	6	9	10	1010
2016:2:0:0:0:LONGTAN	-	1	2	4	6
2016:2:0:0:0:LUZHOU	-	0	5	15	28
2016:2:0:0:0:MIAOLI	-	0	0	3	4
2016:2:0:0:0:MUZHA	-	1	2	4	7
2016:2:0:0:0:NEIHU	-	1	2	9	15
2016:2:0:0:0:SANCHONG	-	1	10	30	39
2016:2:0:0:0:SANXIA	-	0	2	6	9
2016:2:0:0:0:SHILIN	-	0	1	4	4
2016:2:0:0:0:SIYUAN	advanced	0	1	4	6
2016:2:0:0:0:SONGSHAN	-	0	1	20	24
2016:2:0:0:0:TAIDONG_1	-	1	3	19	21
2016:2:0:0:0:TAIDONG_2	-	0	0	6	12
2016:2:0:0:0:TAIDONG_3	-	0	1	21	27
2016:2:0:0:0:TAOYUAN_1	-	0	3	9	13
2016:2:0:0:0:TAOYUAN_2	-	0	2	15	18
2016:2:0:0:0:TAOYUAN_3	-	0	1	7	7
2016:2:0:0:0:TAOYUAN_4	-	2	6	36	39
2016:2:0:0:0:TIANMU	-	0	3	11	15
2016:2:0:0:0:TOUFEN	-	0	1	6	8
2016:2:0:0:0:TUCHENG	-	1	6	23	35
2016:2:0:0:0:WANDA	-	0	4	16	18
2016:2:0:0:0:XIANGSHAN	-	1	2	16	18
2016:2:0:0:0:XINBAN	-	0	14	46	48
2016:2:0:0:0:XINDIAN	-	3	6	19	23
2016:2:0:0:0:XINPU	-	2	7	16	28
2016:2:0:0:0:XINZHU_1	-	0	11	36	39
2016:2:0:0:0:XINZHU_3	-	1	6	28	40
2016:2:0:0:0:XIZHI	-	1	7	16	24
2016:2:0:0:0:YILAN	-	1	4	16	23
2016:2:0:0:0:YONGHE	-	1	10	38	38
2016:2:0:0:0:YULI	-	0	2	9	11
2016:2:0:0:0:ZHONGHE_1	-	1	6	24	27
2016:2:0:0:0:ZHONGHE_2	-	1	7	18	25
2016:2:0:0:0:ZHONGLI_1	-	0	2	6	7
2016:2:0:0:0:ZHONGLI_2	-	0	3	26	33
2016:2:0:0:0:ZHUBEI_1	-	0	2	4	5
2016:2:0:0:0:ZHUBEI_2	-	0	6	31	37
2016:2:0:0:0:ZHUBEI_3	兒童班	0	3	5	21
2016:2:0:0:0:ZHUDONG	-	1	0	10	12
2016:2:0:0:0:ZHUNAN	-	0	2	7	7
2016:2:0:0:1:ANKANG	Beginners	1	0	4	10
2016:2:0:0:1:BADE	中	0	2	3	5
2016:2:0:0:1:HUALIAN_3	CHILD	0	0	2	6
2016:2:0:0:1:JILONG	beginning	1	6	14	14
2016:2:0:0:1:JINHUA	中級	5	3	2	1
2016:2:0:0:1:MIAOLI	intermediate	0	1	6	8
2016:2:0:0:1:SANCHONG	Beginner	0	6	8	13
2016:2:0:0:1:SANXIA	Children	0	2	5	5
2016:2:0:0:1:SIYUAN	child	0	0	7	8
2016:2:0:0:1:SONGSHAN	BEGINNER	0	3	4	7
2016:2:0:0:1:TAIDONG_1	BEGINNING	1	0	2	3
2016:2:0:0:1:TIANMU	child	0	0	0	0
2016:2:0:0:1:TOUFEN	ERTONG	0	0	2	3
2016:2:0:0:1:TUCHENG	小朋友	0	0	2	7
2016:2:0:0:1:WANDA	advanced	0	5	10	12
