	@CLASSLEVEL	TOTALSTUDENTS	TOTALNONMEM	NEWSTUDENTS	NEWINV	N_REPORTS
2016:2:3:3:ANKANG	高級	18	15	9	0	1
2016:2:3:3:BADE	5	21	16	10	0	3
2016:2:3:3:BEITOU	BEGINNER	7	5	4	0	2
2016:2:3:3:DANSHUI	intermediate	18	9	4	0	2
2016:2:3:3:HUALIAN	intermediate	16	16	1	0	2
2016:2:3:3:JILONG	advance	12	10	0	0	2
2016:2:3:3:LONGTAN	beginner	13	10	3	1	1
2016:2:3:3:MUZHA	Beginner	4	3	1	0	1
2016:2:3:3:NEIHU	beginner	6	3	1	0	1
2016:2:3:3:SANCHONG	CHILDRENS	31	17	5	0	3
2016:2:3:3:SHILIN	kids	3	2	0	0	1
2016:2:3:3:SHUANGHE	child	42	36	15	0	4
2016:2:3:3:SONGSHAN	beginning	4	2	2	0	1
2016:2:3:3:TAIDONG	BEGINNING	25	20	2	1	2
2016:2:3:3:TAOYUAN_1_2	兒童	13	8	3	0	2
2016:2:3:3:TAOYUAN_3	children	21	20	3	0	3
2016:2:3:3:TOUFEN	ERTONG	6	5	0	0	1
2016:2:3:3:TUCHENG	child	6	5	3	0	1
2016:2:3:3:XINBAN	intermediate	15	12	4	0	2
2016:2:3:3:XINDIAN	children	11	9	5	0	2
2016:2:3:3:XINZHU	13	33	25	7	0	3
2016:2:3:3:XIZHI	Intermediate	13	11	2	0	3
2016:2:3:3:YILAN	ADVANCE	7	4	1	0	1
2016:2:3:3:YULI	ADV	4	3	1	0	1
2016:2:3:3:ZHONGLI	advance	17	13	2	0	1
2016:2:3:3:ZHUBEI	beginner	12	10	1	0	2
2016:2:3:3:ZHUDONG	ADV	4	4	0	0	1
2016:2:4:3:ANKANG	Beginners	19	11	1	1	1
2016:2:4:3:BADE	中	27	14	6	0	3
2016:2:4:3:BEITOU	BEGINNER	10	6	5	2	2
2016:2:4:3:DANSHUI	ADVANCED	10	7	2	1	2
2016:2:4:3:HUALIAN	Beginners	24	18	3	0	3
2016:2:4:3:JILONG	beginning	48	38	14	2	2
2016:2:4:3:LONGTAN	beginner	9	6	2	0	1
2016:2:4:3:MUZHA	Advanced	15	9	4	1	2
2016:2:4:3:NEIHU	adv	9	6	1	1	2
2016:2:4:3:SANCHONG	ADVANCED	49	36	16	1	4
2016:2:4:3:SHILIN	kids	2	2	0	0	1
2016:2:4:3:SHUANGHE	ertongban	48	44	8	3	4
2016:2:4:3:SONGSHAN	CHILDREN	41	31	8	0	2
