	A	B	C	D	NEXTWEEKBAP	BAP	BD	SAC	PK	NIMISSFIND	NIMEMREF	OL
2016:1:2:7:ANKANG_E	0	0	0	0	0	0	0	0	0	0	0	0
2016:1:2:7:BADE_A_E	0	2	0	3	2	0	8	0	6	4	0	2
2016:1:2:7:BADE_B_E	0	1	3	4	1	0	12	0	3	1	0	1
2016:1:2:7:BADE_S	1	0	0	2	1	0	3	0	2	3	0	4
2016:1:2:7:BANQIAO_S	0	0	0	1	0	0	1	0	2	2	0	17
2016:1:2:7:BEITOU_E	0	0	0	1	0	0	1	0	3	2	0	2
2016:1:2:7:BEITOU_S	0	0	3	3	0	0	10	0	9	4	0	6
2016:1:2:7:DANFENG_E	0	3	3	3	0	0	9	0	3	0	0	0
2016:1:2:7:DANSHUI_E	1	1	1	3	1	0	6	0	4	2	0	4
2016:1:2:7:GUISHAN_E	0	0	3	1	0	1	13	0	3	1	0	5
2016:1:2:7:HUALIAN_1_E	0	0	2	4	1	0	7	0	6	3	0	5
2016:1:2:7:HUALIAN_2_ZL	0	1	1	2	2	0	6	0	5	4	0	4
2016:1:2:7:HUALIAN_3_A_E	0	0	2	1	1	0	4	0	3	4	0	4
2016:1:2:7:HUALIAN_3_B_E	0	0	4	4	1	0	8	0	4	3	0	3
2016:1:2:7:JILONG_A_E	0	0	2	4	3	0	6	0	6	3	0	5
2016:1:2:7:JILONG_B_E	0	0	0	3	0	0	3	0	2	0	0	3
2016:1:2:7:JINGXIN_S	0	0	0	0	0	0	0	0	3	1	0	5
2016:1:2:7:JINGXIN_ZL	0	0	1	3	6	8	0	0	6	6	0	10
2016:1:2:7:JINHUA_ZL	0	0	2	4	0	0	8	0	2	3	0	9
2016:1:2:7:LONGTAN_E	0	0	0	2	0	0	4	0	4	0	0	3
2016:1:2:7:LUODONG_A_E	0	0	0	0	2	0	4	0	6	3	0	3
2016:1:2:7:LUODONG_B_E	0	0	0	5	1	0	7	0	3	2	0	6
2016:1:2:7:LUZHOU_E	1	0	3	1	0	0	5	0	5	0	0	1
2016:1:2:7:MIAOLI_A_E	0	0	1	2	1	0	3	0	6	1	0	2
2016:1:2:7:MIAOLI_B_E	0	0	2	2	0	0	4	0	3	1	0	0
2016:1:2:7:MUZHA_E	0	0	1	4	0	0	7	0	6	3	0	7
2016:1:2:7:MUZHA_S	0	0	1	5	0	0	6	0	4	1	0	3
2016:1:2:7:NANKAN_E	0	0	0	1	0	0	1	0	1	1	0	4
2016:1:2:7:NANKAN_S	0	0	3	2	1	0	5	0	6	4	0	6
2016:1:2:7:NEIHU_S	0	0	1	2	0	0	3	0	2	1	0	3
2016:1:2:7:OFFICE_E	0	0	0	1	0	0	1	0	2	0	0	5
2016:1:2:7:SANCHONG_E	0	0	2	2	0	0	4	0	8	2	0	2
2016:1:2:7:SANCHONG_S	0	1	2	0	0	0	3	0	3	1	0	8
2016:1:2:7:SANXIA_B_E	0	0	0	1	0	0	1	0	1	2	0	7
2016:1:2:7:SHILIN_S	0	0	0	6	0	0	6	0	0	6	0	10
2016:1:2:7:SHILIN_ZL	0	1	1	1	1	0	3	0	3	0	0	8
2016:1:2:7:SIYUAN_E	0	0	1	2	0	0	4	0	5	0	0	2
2016:1:2:7:SONGSHAN_S	0	0	1	3	0	0	5	0	4	1	0	3
2016:1:2:7:SONGSHAN_ZL	0	0	4	5	0	1	13	0	6	1	0	1
2016:1:2:7:TAIDONG_1_E	0	0	2	3	0	0	7	0	4	1	0	5
2016:1:2:7:TAIDONG_1_S	0	0	0	4	0	0	6	0	1	1	0	5
2016:1:2:7:TAIDONG_2_S	0	0	1	4	0	0	5	0	5	2	0	6
2016:1:2:7:TAIDONG_2_ZL	1	0	5	4	0	0	10	0	8	4	0	9
2016:1:2:7:TAIDONG_3_E	0	0	4	1	0	0	8	0	2	1	0	3
2016:1:2:7:TAO_1_A	0	0	0	1	0	0	1	0	0	0	0	7
2016:1:2:7:TAO_2_E	1	0	2	3	1	0	6	0	2	2	0	4
2016:1:2:7:TAO_2_S	0	0	1	0	0	0	2	0	3	3	0	1
2016:1:2:7:TAO_3_E	0	0	2	3	0	0	5	0	3	2	0	7
2016:1:2:7:TAO_3_E_ZL	0	0	0	4	0	0	7	0	6	8	0	10
2016:1:2:7:TIANMU_E	0	0	0	2	0	0	2	0	4	2	0	6
2016:1:2:7:TOUFEN_E	0	1	1	1	0	0	3	0	5	4	0	4
2016:1:2:7:TOUR_S	2	2	1	4	0	0	11	0	7	7	0	36
2016:1:2:7:TUCHENG_S	0	1	1	3	0	0	5	0	3	5	0	15
2016:1:2:7:TUCHENG_ZL	0	1	1	2	1	0	5	0	5	5	0	15
2016:1:2:7:WANDA_A_S	0	0	0	0	0	0	2	0	2	1	0	3
2016:1:2:7:WANDA_B_S	0	0	1	0	0	0	4	0	1	2	0	6
2016:1:2:7:WANDA_E	0	1	0	4	1	0	5	0	5	0	0	3
2016:1:2:7:XIANGSHAN_A	0	0	1	1	2	0	6	0	2	3	0	3
2016:1:2:7:XIANGSHAN_B	0	0	0	4	1	0	5	0	4	3	0	11
2016:1:2:7:XINAN_S	0	0	0	3	0	0	8	0	2	5	0	17
2016:1:2:7:XINBAN_E	0	0	2	3	0	0	7	0	13	3	0	4
2016:1:2:7:XINDIAN_E	0	0	0	2	0	0	2	0	5	1	0	4
2016:1:2:7:XINDIAN_S	0	0	1	6	1	0	7	0	6	2	0	3
2016:1:2:7:XINPU_E	1	0	0	1	1	0	4	0	5	1	0	3
2016:1:2:7:XINPU_S	0	0	1	3	2	0	4	0	10	0	0	5
2016:1:2:7:XINZHU_1_E	1	0	2	2	0	0	6	0	3	4	0	7
2016:1:2:7:XINZHU_1_S	0	0	3	3	0	0	10	0	6	4	0	5
2016:1:2:7:XINZHU_3_S	1	0	1	0	0	0	5	0	5	1	0	6
2016:1:2:7:XINZHU_3_ZL	0	1	2	2	0	0	6	0	5	3	0	5
2016:1:2:7:XIZHI_A_E	0	2	1	1	0	0	4	0	6	0	0	1
2016:1:2:7:XIZHI_B_E	0	0	0	2	1	0	5	0	5	1	0	8
2016:1:2:7:XIZHI_S	0	0	2	1	0	0	3	0	7	2	0	6
2016:1:2:7:YILAN_E	0	0	2	2	1	0	6	0	4	0	0	3
2016:1:2:7:YILAN_S	0	0	0	0	0	0	0	0	2	4	0	6
2016:1:2:7:YONGHE_S	1	0	5	3	1	0	15	0	6	7	0	17
2016:1:2:7:YULI_E	0	0	1	9	0	0	10	0	4	2	0	7
2016:1:2:7:YULI_S	0	0	0	2	1	0	2	0	1	2	0	7
2016:1:2:7:ZHONGHE_1_E	0	0	0	1	0	0	6	0	4	3	0	3
2016:1:2:7:ZHONGHE_2_E	0	0	0	7	0	0	7	0	3	2	0	5
2016:1:2:7:ZHONGHE_2_S	0	1	2	2	0	0	5	0	2	2	0	4
2016:1:2:7:ZHONGLI_1_S	0	0	1	2	0	0	4	0	4	2	0	2
2016:1:2:7:ZHONGLI_2_E	0	0	0	4	0	0	6	0	5	2	0	7
2016:1:2:7:ZHONGLI_E	0	0	0	3	0	0	7	0	4	2	0	5
2016:1:2:7:ZHUBEI_1_E	1	0	2	5	0	0	8	0	5	3	0	6
2016:1:2:7:ZHUBEI_2_E	1	0	1	0	0	0	2	0	5	0	0	6
2016:1:2:7:ZHUBEI_2_S	0	0	1	3	0	0	4	0	4	2	0	7
2016:1:2:7:ZHUBEI_3_S	2	1	0	1	2	0	4	0	6	10	0	8
2016:1:2:7:ZHUDONG_E	0	0	0	2	1	0	2	0	0	2	0	3
2016:1:2:7:ZHUDONG_S	2	0	2	2	0	0	6	0	6	0	0	4
2016:1:2:7:ZHUNAN_E	1	0	0	1	0	0	4	0	3	2	0	12
2016:1:2:7:ZHUNAN_S	0	1	1	4	0	0	7	0	5	6	0	5
2016:1:2:7:ZHUWEI_E	1	0	1	2	0	0	4	0	0	2	0	6
2016:1:4:7:ANKANG_E	0	0	1	2	1	0	3	4	9	2	0	8
2016:1:4:7:ASSISTANTS	0	0	7	3	0	0	18	5	15	9	0	13
2016:1:4:7:BADE_A_E	0	0	2	4	0	0	7	0	7	6	0	8
2016:1:4:7:BADE_B_E	0	1	4	0	1	0	10	2	8	5	0	9
2016:1:4:7:BADE_S	1	0	0	2	1	0	3	1	4	4	0	9
2016:1:4:7:BANQIAO_S	0	0	0	0	0	0	2	0	5	3	0	24
2016:1:4:7:BEITOU_E	0	0	0	1	0	0	1	2	4	3	0	3
2016:1:4:7:BEITOU_S	0	0	3	4	0	0	9	3	13	9	0	18
2016:1:4:7:DANFENG_E	0	2	3	3	0	1	8	2	7	1	0	3
2016:1:4:7:DANSHUI_E	1	1	1	3	1	0	6	1	9	3	0	8
2016:1:4:7:GUISHAN_E	0	0	4	2	0	1	12	1	8	4	0	9
2016:1:4:7:HUALIAN_1_E	0	0	2	3	1	0	6	0	9	6	0	16
2016:1:4:7:HUALIAN_1_S	0	0	3	0	0	0	5	3	11	9	0	26
2016:1:4:7:HUALIAN_2_ZL	0	1	1	2	1	0	7	1	7	6	0	8
2016:1:4:7:HUALIAN_3_A_E	0	0	3	0	1	0	4	1	4	5	0	6
2016:1:4:7:HUALIAN_3_B_E	0	0	3	6	0	0	9	1	9	3	0	3
2016:1:4:7:HUALIAN_3_S	0	0	0	3	0	1	5	1	8	7	0	11
2016:1:4:7:JILONG_A_E	0	0	2	5	4	0	7	3	9	4	0	5
2016:1:4:7:JILONG_B_E	0	0	0	3	0	0	3	5	5	3	0	3
2016:1:4:7:JINGXIN_S	0	0	0	1	0	0	1	0	3	2	0	9
2016:1:4:7:JINGXIN_ZL	0	0	2	6	10	0	13	3	10	14	0	19
2016:1:4:7:JINHUA_ZL	0	0	1	1	0	0	8	1	3	8	0	21
2016:1:4:7:LONGTAN_E	0	0	1	1	0	0	4	2	5	1	0	7
2016:1:4:7:LUODONG_A_E	0	0	0	1	3	0	7	2	8	5	0	9
2016:1:4:7:LUODONG_B_E	0	0	1	6	3	0	10	3	7	4	0	15
2016:1:4:7:LUZHOU_E	1	0	3	1	0	0	5	1	6	4	0	7
2016:1:4:7:MIAOLI_A_E	0	0	1	2	1	0	3	0	7	5	0	10
2016:1:4:7:MIAOLI_B_E	0	0	1	1	0	3	6	3	5	1	0	0
2016:1:4:7:MUZHA_E	0	0	1	7	1	0	11	3	8	10	0	17
2016:1:4:7:MUZHA_S	0	0	2	5	0	0	7	2	8	5	0	11
2016:1:4:7:NANKAN_E	0	0	0	2	0	0	2	0	2	1	0	8
2016:1:4:7:NANKAN_S	0	1	2	2	1	0	6	3	9	7	0	17
2016:1:4:7:NEIHU_S	0	0	1	0	1	0	1	2	3	4	0	9
2016:1:4:7:SANCHONG_E	0	0	2	3	1	0	5	1	13	3	0	4
2016:1:4:7:SANCHONG_S	1	0	2	0	1	0	3	2	4	3	0	8
2016:1:4:7:SANXIA_A_E	0	0	0	3	0	0	7	1	6	9	0	12
