	A	B	C	D	NEXTWEEKBAP	BAP	BD	SAC	PK	NIMISSFIND	NIMEMREF	OL
2016:1:2:7:BADE	1	3	3	11	4	0	27	0	15	8	0	10
2016:1:2:7:BANQIAO	1	0	3	8	3	0	16	0	30	6	0	29
2016:1:2:7:BEITOU	2	1	5	9	1	0	21	0	16	10	0	18
2016:1:2:7:HUALIAN	0	0	6	5	2	0	12	0	7	7	0	7
2016:1:2:7:JIAN	0	1	3	6	3	0	13	0	11	7	0	9
2016:1:2:7:JILONG	0	0	2	7	3	0	9	0	8	3	0	8
2016:1:2:7:JINGXIN	0	0	3	12	6	8	13	0	19	11	0	25
2016:1:2:7:JINHUA	2	2	3	9	0	0	20	0	11	10	0	50
2016:1:2:7:OFFICE	0	0	0	1	0	0	1	0	2	0	0	5
2016:1:2:7:SANCHONG	1	1	7	3	0	0	12	0	16	3	0	11
2016:1:2:7:SHILIN	0	1	1	9	1	0	11	0	7	8	0	24
2016:1:2:7:SHUANGHE	1	1	7	13	1	0	33	0	15	14	0	29
2016:1:2:7:SONGSHAN	0	0	6	10	0	1	21	0	12	3	0	7
2016:1:2:7:TAIDONG_1_3	0	0	6	8	0	0	21	0	7	3	0	13
2016:1:2:7:TAIDONG_2	1	0	6	8	0	0	15	0	13	6	0	15
2016:1:2:7:TAOYUAN	0	0	3	1	0	1	13	0	3	1	0	5
2016:1:2:7:TAOYUAN_1_2	1	0	3	4	1	0	9	0	5	5	0	12
2016:1:2:7:TAOYUAN_3	0	0	5	10	1	0	18	0	16	15	0	27
2016:1:2:7:TOUFEN_MIAOLI	0	1	4	5	1	0	10	0	14	6	0	6
2016:1:2:7:TUCHENG	0	2	2	6	1	0	11	0	9	12	0	37
2016:1:2:7:WANDA	2	3	4	15	1	0	38	0	19	18	0	74
2016:1:2:7:XINAN	0	1	1	7	1	0	19	0	10	8	0	29
2016:1:2:7:XINDIAN	0	0	1	8	1	0	9	0	11	3	0	7
2016:1:2:7:XINZHU	2	1	8	7	0	0	27	0	19	12	0	23
2016:1:2:7:XINZHUANG	0	3	4	5	0	0	13	0	8	0	0	2
2016:1:2:7:XIZHI	0	2	3	4	1	0	12	0	18	3	0	15
2016:1:2:7:YILAN	0	0	2	7	4	0	17	0	15	9	0	18
2016:1:2:7:YULI	0	0	1	11	1	0	12	0	5	4	0	14
2016:1:2:7:ZHONGLI	0	0	1	9	0	0	17	0	13	6	0	14
2016:1:2:7:ZHUBEI	4	1	4	9	2	0	18	0	20	15	0	27
2016:1:2:7:ZHUDONG	2	0	2	4	1	0	8	0	6	2	0	7
2016:1:2:7:ZHUNAN	1	1	2	10	3	0	22	0	14	14	0	31
2016:1:4:7:BADE	1	1	7	7	2	0	24	5	24	16	0	33
2016:1:4:7:BANQIAO	0	1	4	8	2	1	18	5	38	12	0	45
2016:1:4:7:BEITOU	2	1	5	10	2	0	20	7	26	19	0	41
2016:1:4:7:HUALIAN	0	0	6	9	1	1	18	3	21	15	0	20
2016:1:4:7:JIAN	0	1	6	5	2	0	18	4	27	21	0	50
2016:1:4:7:JILONG	0	0	2	8	4	0	10	8	14	7	0	8
2016:1:4:7:JINGXIN	0	0	5	19	11	0	32	8	29	31	0	56
2016:1:4:7:JINHUA	2	1	3	5	3	0	17	3	14	15	0	63
2016:1:4:7:OFFICE	0	0	7	3	0	0	18	5	15	9	0	13
2016:1:4:7:SANCHONG	2	0	7	4	2	0	13	4	23	10	0	19
2016:1:4:7:SHILIN	0	0	1	8	0	1	11	2	11	15	0	43
2016:1:4:7:SHUANGHE	0	2	8	11	0	1	35	8	35	24	0	53
2016:1:4:7:SONGSHAN	0	0	10	7	1	1	20	7	31	12	0	19
2016:1:4:7:TAIDONG_1_3	0	2	3	8	2	0	20	9	15	8	0	28
2016:1:4:7:TAIDONG_2	0	0	7	7	1	0	15	5	18	9	0	21
2016:1:4:7:TAOYUAN	0	0	4	2	0	1	12	1	8	4	0	9
2016:1:4:7:TAOYUAN_1_2	1	0	3	5	1	0	10	3	15	10	0	28
2016:1:4:7:TAOYUAN_3	0	1	4	12	1	0	21	5	24	27	0	58
2016:1:4:7:TOUFEN_MIAOLI	0	0	2	3	1	3	9	3	12	6	0	10
2016:1:4:7:TUCHENG	0	2	4	11	2	0	22	8	24	29	0	69
2016:1:4:7:WANDA	2	2	4	16	4	0	34	4	43	30	0	127
2016:1:4:7:XINAN	0	1	8	14	1	0	35	6	44	24	0	77
2016:1:4:7:XINDIAN	0	0	1	9	2	0	10	6	27	10	0	22
2016:1:4:7:XINZHU	2	1	8	8	1	0	28	6	30	17	0	42
2016:1:4:7:XINZHUANG	0	2	4	5	0	1	12	3	13	5	0	7
2016:1:4:7:XIZHI	0	2	2	6	6	0	12	7	28	17	0	36
2016:1:4:7:YILAN	0	0	2	12	7	0	24	5	24	21	0	55
2016:1:4:7:YULI	0	0	4	12	0	0	16	3	10	11	0	27
2016:1:4:7:ZHONGLI	0	0	1	8	0	0	17	4	18	10	0	26
2016:1:4:7:ZHUBEI	2	1	4	5	0	2	12	4	24	16	0	33
2016:1:4:7:ZHUDONG	1	0	2	6	3	1	9	2	12	3	0	9
2016:1:4:7:ZHUNAN	1	0	3	9	5	0	18	6	29	23	0	49
2016:1:5:7:BADE	2	1	3	8	1	1	21	6	27	17	0	32
2016:1:5:7:BANQIAO	0	1	6	11	0	1	22	7	32	10	0	59
2016:1:5:7:BEITOU	1	3	2	9	1	0	21	4	26	20	0	42
2016:1:5:7:HUALIAN	0	0	6	7	0	0	21	4	15	15	0	38
2016:1:5:7:JIAN	0	0	5	5	0	0	18	7	26	14	0	29
2016:1:5:7:JILONG	0	1	2	9	0	0	12	4	20	7	0	4
2016:1:5:7:JINGXIN	0	0	9	9	0	0	26	13	22	37	0	66
2016:1:5:7:JINHUA	0	0	6	9	0	1	18	2	20	10	0	52
2016:1:5:7:OFFICE	0	0	7	6	0	0	15	3	10	7	0	15
2016:1:5:7:SANCHONG	0	0	4	2	0	2	11	5	23	14	0	35
2016:1:5:7:SHILIN	0	0	0	4	0	0	4	1	11	7	0	31
2016:1:5:7:SHUANGHE	0	0	10	11	0	1	33	9	34	21	0	47
2016:1:5:7:SONGSHAN	0	0	10	9	1	1	20	4	38	14	0	31
2016:1:5:7:TAIDONG_1_3	0	2	6	7	2	0	21	5	17	11	0	39
2016:1:5:7:TAIDONG_2	1	0	7	6	1	0	13	10	22	7	0	11
2016:1:5:7:TAOYUAN	0	0	4	0	0	0	5	0	6	1	0	7
2016:1:5:7:TAOYUAN_1_2	1	0	4	3	1	0	10	5	12	7	0	38
2016:1:5:7:TAOYUAN_3	0	0	5	13	0	1	23	2	26	19	0	44
2016:1:5:7:TOUFEN_MIAOLI	1	0	3	7	1	1	13	9	20	8	0	22
2016:1:5:7:TUCHENG	0	1	3	16	0	1	24	6	24	32	0	58
2016:1:5:7:WANDA	0	0	9	14	0	2	31	4	33	24	0	129
2016:1:5:7:XINAN	0	0	10	11	0	1	28	5	23	21	0	92
2016:1:5:7:XINDIAN	0	0	4	9	0	0	13	7	29	19	0	32
2016:1:5:7:XINZHU	0	1	10	10	0	1	29	12	35	21	0	61
2016:1:5:7:XINZHUANG	0	1	4	4	0	1	12	4	6	8	0	20
2016:1:5:7:XIZHI	0	1	1	5	0	2	8	5	24	16	0	42
2016:1:5:7:YILAN	0	1	1	9	0	0	20	8	28	22	0	38
2016:1:5:7:YULI	0	0	4	5	0	0	9	1	7	6	0	36
2016:1:5:7:ZHONGLI	0	0	3	6	0	0	22	5	13	9	0	26
2016:1:5:7:ZHUBEI	0	1	7	7	2	1	15	5	21	11	0	38
2016:1:5:7:ZHUDONG	1	0	2	6	0	0	9	3	12	3	0	6
2016:1:5:7:ZHUNAN	0	0	2	10	0	1	15	7	22	16	0	41
2016:2:1:7:BADE	2	0	3	7	0	1	19	4	23	16	0	34
2016:2:1:7:BANQIAO	1	2	7	10	0	0	25	7	20	12	0	60
2016:2:1:7:BEITOU	2	3	3	9	0	0	25	4	35	16	2	30
2016:2:1:7:HUALIAN	0	0	6	9	0	0	18	1	17	9	0	15
2016:2:1:7:JIAN	0	1	2	6	0	0	16	9	18	17	1	32
2016:2:1:7:JILONG	0	1	1	11	0	0	13	9	13	8	0	11
2016:2:1:7:JINGXIN	0	1	11	9	0	0	31	8	22	39	0	55
2016:2:1:7:JINHUA	0	1	5	10	0	0	19	4	20	14	2	32
2016:2:1:7:OFFICE	0	0	7	7	0	0	25	1	7	7	2	17
2016:2:1:7:SANCHONG	0	0	4	9	0	0	16	7	36	26	0	43
2016:2:1:7:SHILIN	0	0	1	1	0	0	6	1	11	5	0	25
2016:2:1:7:SHUANGHE	0	0	7	13	0	0	34	2	33	16	0	42
2016:2:1:7:SONGSHAN	0	0	12	14	0	1	26	4	30	19	0	39
2016:2:1:7:TAIDONG_1_3	0	2	4	7	0	0	16	2	15	5	0	33
2016:2:1:7:TAIDONG_2	0	0	7	7	1	1	14	3	14	6	0	14
2016:2:1:7:TAOYUAN	0	0	2	0	0	0	4	2	7	0	0	20
2016:2:1:7:TAOYUAN_1_2	1	0	3	3	0	0	13	4	18	9	0	39
2016:2:1:7:TAOYUAN_3	0	0	3	15	0	0	20	0	18	16	0	46
2016:2:1:7:TOUFEN_MIAOLI	1	1	2	3	0	0	8	4	17	9	0	33
2016:2:1:7:TUCHENG	0	0	6	12	0	0	22	6	34	28	1	43
2016:2:1:7:WANDA	0	1	9	16	0	0	35	7	43	38	2	96
2016:2:1:7:XINAN	0	0	11	13	0	0	41	4	30	31	2	81
2016:2:1:7:XINDIAN	0	0	7	12	0	0	16	7	32	16	0	33
2016:2:1:7:XINZHU	0	1	8	9	0	0	25	6	22	32	0	70
2016:2:1:7:XINZHUANG	0	1	4	4	0	0	11	0	17	3	0	15
2016:2:1:7:XIZHI	0	0	3	8	0	0	13	4	18	18	0	57
2016:2:1:7:YILAN	0	1	2	7	0	0	18	7	31	23	0	56
2016:2:1:7:YULI	0	0	4	5	0	0	10	1	4	10	0	34
2016:2:1:7:ZHONGLI	0	0	4	7	0	0	26	5	19	16	0	32
2016:2:1:7:ZHUBEI	0	1	8	9	0	0	18	3	23	15	0	48
2016:2:1:7:ZHUDONG	1	1	2	4	0	0	8	3	13	4	0	8
2016:2:1:7:ZHUNAN	0	0	5	5	0	0	14	2	25	14	0	47
2016:2:2:7:BADE	1	0	0	13	1	1	23	13	20	19	2	21
