	A	B	C	D	NEXTWEEKBAP	BAP	BD	SAC	PK	NIMISSFIND	NIMEMREF	OL	N_REPORTS
2016:1:2:7:MISSION	19	22	107	225	42	11	479	0	373	214	0	529	
2016:1:4:7:MISSION	14	19	130	243	63	13	538	150	668	447	0	1056	
2016:1:5:7:MISSION	7	14	143	227	10	17	516	165	641	423	0	1117	
2016:2:1:7:MISSION	8	17	147	238	1	3	545	123	635	452	8	1127	
2016:2:2:7:MISSION	10	26	136	211	15	4	524	190	503	429	41	927	
2016:2:3:7:MISSION	9	24	142	204	17	13	539	213	738	503	28	997	
2016:2:4:7:MISSION	8	22	137	218	15	15	522	229	690	437	54	867	
2016:3:1:7:MISSION	6	22	150	209	11	8	521	232	721	438	37	857	
2016:3:2:7:MISSION	3	20	174	211	11	8	514	193	630	407	37	879	
2016:3:3:7:MISSION	11	23	159	269	17	4	606	251	767	585	33	1090	
2016:3:4:7:MISSION	9	20	155	245	21	11	558	251	724	477	45	930	
2016:4:1:7:MISSION	1	24	155	245	4	14	534	225	761	480	50	857	
2016:4:2:7:MISSION	13	22	167	224	31	1	568	253	666	451	26	784	
2016:4:3:7:MISSION	3	18	165	233	15	21	554	215	763	478	49	823	
2016:4:4:7:MISSION	5	22	172	228	19	7	569	213	700	498	32	885	
2016:5:1:7:MISSION	6	23	184	233	13	7	596	248	767	548	44	828	
2016:5:2:7:MISSION	8	29	177	218	11	8	556	241	746	528	59	787	
2016:5:3:7:MISSION	17	32	169	219	42	5	572	225	801	542	50	828	97
2016:5:4:3:MISSION	1	0	3	3	1	0	9	6	14	8	0	7	2
2016:5:4:7:MISSION	10	25	163	207	27	30	512	321	823	523	47	737	0
2016:5:5:7:MISSION	9	26	168	218	13	16	530	268	794	494	36	663	96
2016:6:1:4:MISSION	0	0	2	3	0	0	5	0	7	3	2	6	1
2016:6:1:7:MISSION	9	27	195	221	16	7	549	273	719	470	19	658	95
2016:6:2:7:MISSION	10	31	179	235	18	15	562	260	707	549	.5	761	94
