	A	B	C	D	NEXTWEEKBAP	BAP	BD	SAC	PK	NIMISSFIND	NIMEMREF	OL
2014:10:0:0:MISSION	0	0	0	0	0	26	0	0	0	0	0	0
2014:11:0:0:MISSION	0	0	0	0	0	29	0	0	0	0	0	0
2014:12:0:0:MISSION	0	0	0	0	0	55	0	0	0	0	0	0
2014:1:0:0:MISSION	0	0	0	0	0	28	0	0	0	0	0	0
2014:2:0:0:MISSION	0	0	0	0	0	28	0	0	0	0	0	0
2014:3:0:0:MISSION	0	0	0	0	0	44	0	0	0	0	0	0
2014:4:0:0:MISSION	0	0	0	0	0	56	0	0	0	0	0	0
2014:5:0:0:MISSION	0	0	0	0	0	35	0	0	0	0	0	0
2014:6:0:0:MISSION	0	0	0	0	0	43	0	0	0	0	0	0
2014:7:0:0:MISSION	0	0	0	0	0	31	0	0	0	0	0	0
2014:8:0:0:MISSION	0	0	0	0	0	31	0	0	0	0	0	0
2014:9:0:0:MISSION	0	0	0	0	0	55	0	0	0	0	0	0
2015:10:0:0:MISSION	0	0	0	0	0	35	0	0	0	0	0	0
2015:11:0:0:MISSION	0	0	0	0	0	42	0	0	0	0	0	0
2015:12:0:0:MISSION	0	0	0	0	0	47	0	0	0	0	0	0
2015:1:0:0:MISSION	0	0	0	0	0	26	0	0	0	0	0	0
2015:2:0:0:MISSION	0	0	0	0	0	31	0	0	0	0	0	0
2015:3:0:0:MISSION	0	0	0	0	0	42	0	0	0	0	0	0
2015:4:0:0:MISSION	0	0	0	0	0	43	0	0	0	0	0	0
2015:5:0:0:MISSION	0	0	0	0	0	24	0	0	0	0	0	0
2015:6:0:0:MISSION	0	0	0	0	0	44	0	0	0	0	0	0
2015:7:0:0:MISSION	0	0	0	0	0	22	0	0	0	0	0	0
2015:8:0:0:MISSION	0	0	0	0	0	45	0	0	0	0	0	0
2015:9:0:0:MISSION	0	0	0	0	0	40	0	0	0	0	0	0
2016:1:0:0:MISSION	40	55	380	695	115	49	1533	315	1682	1084	0	2702
2016:2:0:0:MISSION	35	89	562	871	48	35	2130	755	2566	1821	131	3918
2016:3:0:0:MISSION	29	85	638	934	60	31	2199	927	2842	1907	152	3756
2016:4:0:0:MISSION	14	46	322	469	35	15	1102	478	1427	931	76	1641
