	A	B	C	D	NEXTWEEKBAP	BAP	BD	SAC	PK	NIMISSFIND	NIMEMREF	OL	N_COMPS
2016:1:0:0:ANKANG_E	0	0	4	5	1	0	9	7	22	7	0	15	
2016:1:0:0:ASSISTANTS	0	0	14	8	0	0	32	8	23	16	0	25	
2016:1:0:0:BADE_A_E	0	2	2	10	2	0	19	0	18	13	0	18	
2016:1:0:0:BADE_B_E	0	3	10	5	2	1	32	4	18	11	0	17	
2016:1:0:0:BADE_S	3	0	0	7	3	0	10	1	15	13	0	17	
2016:1:0:0:BANQIAO_S	0	0	1	2	0	0	5	0	12	6	0	64	
2016:1:0:0:BEITOU_E	0	0	0	3	0	0	4	3	13	10	0	15	
2016:1:0:0:BEITOU_S	0	1	6	11	0	0	28	4	31	18	0	40	
2016:1:0:0:DANFENG_E	0	6	9	9	0	2	24	5	12	1	0	6	
2016:1:0:0:DANSHUI_E	3	3	4	8	3	0	19	1	22	13	0	22	
2016:1:0:0:GUISHAN_E	0	0	11	3	0	2	30	1	17	6	0	21	
2016:1:0:0:HUALIAN_1_E	0	0	5	11	2	0	22	0	22	14	0	32	
2016:1:0:0:HUALIAN_1_S	0	0	6	0	0	0	12	6	19	14	0	37	
2016:1:0:0:HUALIAN_2_ZL	0	2	3	5	3	0	15	5	23	14	0	19	
2016:1:0:0:HUALIAN_3_A_E	0	0	8	1	2	0	14	3	12	13	0	16	
2016:1:0:0:HUALIAN_3_B_E	0	0	10	14	1	0	24	2	19	11	0	25	
2016:1:0:0:HUALIAN_3_S	0	0	0	6	0	1	13	2	12	13	0	24	
2016:1:0:0:JILONG_A_E	0	1	6	13	7	0	20	6	26	12	0	11	
2016:1:0:0:JILONG_B_E	0	0	0	11	0	0	11	6	16	5	0	9	
2016:1:0:0:JINGXIN_S	0	0	0	2	0	0	2	2	9	4	0	23	
2016:1:0:0:JINGXIN_ZL	0	0	8	11	16	8	23	9	24	34	0	42	
2016:1:0:0:JINHUA_ZL	0	0	6	11	0	0	28	2	14	18	0	50	
2016:1:0:0:LONGTAN_E	1	0	1	4	0	0	11	6	15	4	0	23	
2016:1:0:0:LUODONG_A_E	0	0	0	2	5	0	18	6	25	14	0	13	
2016:1:0:0:LUODONG_B_E	0	1	1	17	4	0	26	5	15	10	0	34	
2016:1:0:0:LUZHOU_A_E	0	0	2	2	0	1	4	1	8	1	0	4	
2016:1:0:0:LUZHOU_B_E	0	0	0	0	0	0	3	0	1	4	0	12	
2016:1:0:0:LUZHOU_E	2	0	6	2	0	0	10	1	11	4	0	8	
2016:1:0:0:MIAOLI_A_E	0	0	3	6	2	0	9	3	20	13	0	17	
