	A	B	C	D	NEXTWEEKBAP	BAP	BD	SAC	PK	NIMISSFIND	NIMEMREF	OL	N_REPORTS
2016:1:2:7:CENTRAL	3	4	11	19	1	0	51	0	37	21	0	90	
2016:1:2:7:EAST	0	2	13	28	8	1	59	0	53	18	0	48	
2016:1:2:7:HSINCHU	9	4	20	35	7	0	85	0	73	49	0	94	
2016:1:2:7:HUALIEN	1	1	22	38	6	0	73	0	43	27	0	58	
2016:1:2:7:NORTH	2	2	6	18	2	0	32	0	23	18	0	42	
2016:1:2:7:SOUTH	1	1	11	33	8	8	55	0	45	28	0	61	
2016:1:2:7:TAOYUAN	2	3	15	35	6	1	84	0	52	35	0	68	
2016:1:2:7:WEST	1	5	9	19	4	0	40	0	47	18	0	68	
2016:1:4:7:CENTRAL	4	2	18	23	6	0	65	13	81	49	0	159	
2016:1:4:7:EAST	0	2	16	33	18	1	66	27	97	57	0	118	
2016:1:4:7:HSINCHU	6	2	19	31	10	6	76	21	107	65	0	143	
2016:1:4:7:HUALIEN	0	3	26	41	6	1	87	24	91	64	0	146	
2016:1:4:7:NORTH	2	1	6	18	2	1	31	9	37	34	0	84	
2016:1:4:7:SOUTH	0	2	14	39	13	1	77	22	91	65	0	131	
2016:1:4:7:TAOYUAN	2	2	19	34	4	1	84	18	89	67	0	154	
2016:1:4:7:WEST	0	5	12	24	4	2	52	16	75	46	0	121	
2016:1:5:7:CENTRAL	0	0	20	22	0	4	57	12	66	45	0	179	
2016:1:5:7:EAST	0	3	14	32	1	3	60	21	110	59	0	115	
2016:1:5:7:HSINCHU	2	2	24	40	3	4	81	36	110	59	0	168	
2016:1:5:7:HUALIEN	1	2	28	30	3	0	82	27	87	53	0	153	
2016:1:5:7:NORTH	1	3	2	13	1	0	25	5	37	27	0	73	
2016:1:5:7:SOUTH	0	0	23	29	0	1	72	29	85	77	0	145	
2016:1:5:7:TAOYUAN	3	1	19	30	2	2	81	18	84	53	0	147	
2016:1:5:7:WEST	0	3	13	31	0	3	58	17	62	50	0	137	
2016:2:1:7:CENTRAL	0	1	20	32	0	0	76	15	86	71	4	156	
2016:2:1:7:EAST	0	2	18	40	0	1	70	24	92	68	0	163	
2016:2:1:7:HSINCHU	2	4	25	30	0	0	73	18	100	74	0	206	
2016:2:1:7:HUALIEN	0	3	23	34	1	1	74	16	68	47	1	128	
2016:2:1:7:NORTH	2	3	4	10	0	0	31	5	46	21	2	55	
2016:2:1:7:SOUTH	0	1	25	34	0	0	81	17	87	71	0	130	
2016:2:1:7:TAOYUAN	3	0	15	32	0	1	82	15	85	57	0	171	
2016:2:1:7:WEST	1	3	17	26	0	0	58	13	71	43	1	118	
2016:2:2:7:CENTRAL	0	2	22	26	1	0	81	22	76	63	8	120	
2016:2:2:7:EAST	0	2	14	34	2	1	63	21	57	47	2	135	
2016:2:2:7:HSINCHU	2	6	17	24	4	2	57	27	84	55	8	155	
2016:2:2:7:HUALIEN	3	4	26	32	4	0	77	21	63	58	8	117	
2016:2:2:7:NORTH	2	4	4	9	0	0	28	13	36	30	5	64	
2016:2:2:7:SOUTH	0	2	29	27	2	0	80	34	90	75	2	125	
2016:2:2:7:TAOYUAN	2	1	9	35	1	1	80	28	57	68	5	145	
2016:2:2:7:WEST	1	5	15	24	1	0	58	24	40	33	3	66	
2016:2:3:7:CENTRAL	1	2	24	35	3	1	93	29	102	63	10	152	
2016:2:3:7:EAST	0	1	16	29	0	2	61	26	103	59	0	135	
2016:2:3:7:HSINCHU	3	6	18	30	5	2	65	31	113	75	2	174	
