	A	B	C	D	NEXTWEEKBAP	BAP	BD	SAC	PK	NIMISSFIND	NIMEMREF	OL
2016:1:2:7:ANKANG	0	0	0	0	0	0	0	0	0	0	0	0
2016:1:2:7:BADE	1	3	3	9	4	0	23	0	11	8	0	7
2016:1:2:7:BEITOU	0	0	3	4	0	0	11	0	12	6	0	8
2016:1:2:7:DANFENG	0	3	3	3	0	0	9	0	3	0	0	0
2016:1:2:7:GUISHAN	0	0	3	1	0	1	13	0	3	1	0	5
2016:1:2:7:HUALIAN_1	0	0	2	4	1	0	7	0	6	3	0	5
2016:1:2:7:HUALIAN_2	0	1	1	2	2	0	6	0	5	4	0	4
2016:1:2:7:HUALIAN_3	0	0	6	5	2	0	12	0	7	7	0	7
2016:1:2:7:JILONG	0	0	2	7	3	0	9	0	8	3	0	8
2016:1:2:7:JINGXIN	0	0	1	3	6	8	0	0	9	7	0	15
2016:1:2:7:JINHUA	2	2	3	9	0	0	20	0	11	10	0	50
2016:1:2:7:LONGTAN	0	0	0	2	0	0	4	0	4	0	0	3
2016:1:2:7:MIAOLI	0	0	3	4	1	0	7	0	9	2	0	2
2016:1:2:7:MUZHA	0	0	2	9	0	0	13	0	10	4	0	10
2016:1:2:7:NEIHU	0	0	1	2	0	0	3	0	2	1	0	3
2016:1:2:7:SANCHONG	0	1	4	2	0	0	7	0	11	3	0	10
2016:1:2:7:SANXIA	0	0	0	1	0	0	1	0	1	2	0	7
2016:1:2:7:SHILIN	0	1	1	7	1	0	9	0	3	6	0	18
2016:1:2:7:SIYUAN	0	0	1	2	0	0	4	0	5	0	0	2
2016:1:2:7:SONGSHAN	0	0	5	8	0	1	18	0	10	2	0	4
2016:1:2:7:TAIDONG_1	0	0	2	7	0	0	13	0	5	2	0	10
2016:1:2:7:TAIDONG_2	1	0	6	8	0	0	15	0	13	6	0	15
2016:1:2:7:TAIDONG_3	0	0	4	1	0	0	8	0	2	1	0	3
2016:1:2:7:TAOYUAN_1	0	0	0	1	0	0	1	0	0	0	0	7
2016:1:2:7:TAOYUAN_2	1	0	3	3	1	0	8	0	5	5	0	5
2016:1:2:7:TAOYUAN_3	0	0	2	7	0	0	12	0	9	10	0	17
2016:1:2:7:TIANMU	0	0	0	2	0	0	2	0	4	2	0	6
2016:1:2:7:TOUFEN	0	1	1	1	0	0	3	0	5	4	0	4
2016:1:2:7:TUCHENG	0	2	2	5	1	0	10	0	8	10	0	30
2016:1:2:7:WANDA	0	1	1	4	1	0	11	0	8	3	0	12
2016:1:2:7:XIANGSHAN	0	0	1	5	3	0	11	0	6	6	0	14
2016:1:2:7:XINAN	0	0	0	3	0	0	8	0	2	5	0	17
2016:1:2:7:XINBAN	0	0	2	4	0	0	8	0	15	5	0	21
2016:1:2:7:XINDIAN	0	0	1	8	1	0	9	0	11	3	0	7
2016:1:2:7:XINPU	1	0	1	4	3	0	8	0	15	1	0	8
