	A	B	BAP	BD	C	CONF	D	LAC	NEXTWEEKBAP	NIMEMREF	NIMISSFIND	OL	PK	RCLA	RCT	SAC
2016:1:0:0:ANKANG	0	0	0	9	4	0	5	2	1	0	7	15	22	9	0	7
2016:1:0:0:BADE	3	5	1	61	12	1	22	4	7	0	37	52	51	39	1	5
2016:1:0:0:BEITOU	0	1	0	32	6	0	14	7	0	0	28	55	44	33	0	7
2016:1:0:0:DANFENG	0	6	2	24	9	2	9	4	0	0	1	6	12	11	0	5
2016:1:0:0:GUISHAN	0	0	2	30	11	1	3	0	0	0	6	21	17	6	0	1
2016:1:0:0:HUALIAN_1	0	0	0	34	11	0	11	4	2	0	28	69	41	20	0	6
2016:1:0:0:HUALIAN_2	0	2	0	15	3	0	5	1	3	0	14	19	23	18	0	5
2016:1:0:0:HUALIAN_3	0	0	1	51	18	1	21	6	3	0	37	65	43	29	3	7
2016:1:0:0:JILONG	0	1	0	31	6	0	24	10	7	0	17	20	42	57	1	12
2016:1:0:0:JINGXIN	0	0	8	25	8	0	13	5	16	0	38	65	33	13	0	11
2016:1:0:0:JINHUA	4	3	1	55	12	1	23	1	3	0	35	165	45	19	0	5
2016:1:0:0:LONGTAN	1	0	0	11	1	0	4	3	0	0	4	23	15	9	0	6
2016:1:0:0:LUZHOU	0	0	1	7	2	1	2	2	0	0	5	16	9	6	1	1
2016:1:0:0:MIAOLI	0	0	3	24	7	0	11	4	2	0	15	28	33	15	0	9
2016:1:0:0:MUZHA	0	0	0	46	9	0	27	2	1	0	41	82	37	12	0	10
2016:1:0:0:NEIHU	0	0	1	8	3	1	5	5	1	0	10	28	18	9	0	4
2016:1:0:0:SANCHONG	1	1	1	19	10	1	5	3	2	0	18	41	42	18	0	7
2016:1:0:0:SANXIA	0	0	0	24	1	0	17	5	0	0	31	64	21	10	0	5
2016:1:0:0:SHILIN	0	1	1	22	2	1	17	3	1	0	24	70	19	16	0	3
2016:1:0:0:SIYUAN	0	0	0	13	3	0	5	2	0	0	12	23	15	14	0	2
2016:1:0:0:SONGSHAN	0	0	2	53	23	1	21	8	1	0	19	29	63	22	0	7
2016:1:0:0:TAIDONG_1	0	0	0	38	5	0	19	5	0	0	15	51	26	26	2	5
2016:1:0:0:TAIDONG_2	2	0	0	43	20	0	21	5	2	0	22	47	53	12	3	15
2016:1:0:0:TAIDONG_3	0	4	0	24	10	0	4	3	4	0	7	29	13	2	0	9
2016:1:0:0:TAOYUAN_1	0	0	0	6	1	0	3	1	0	0	4	46	14	8	0	4
2016:1:0:0:TAOYUAN_2	3	0	0	23	9	0	9	4	3	0	18	32	18	20	0	4
2016:1:0:0:TAOYUAN_3	0	0	0	36	5	0	22	0	0	0	38	63	34	6	0	4
2016:1:0:0:TAOYUAN_4	0	0	1	12	4	1	6	2	0	0	10	31	14	7	0	0
2016:1:0:0:TIANMU	0	0	0	4	0	0	4	1	0	0	6	28	10	3	0	0
