	A	B	C	D	NEXTWEEKBAP	BAP	BD	SAC	PK	NIMISSFIND	NIMEMREF	OL	N_REPORTS
2016:1:2:7:CENTRAL	3	4	11	18	1	0	50	0	35	21	0	85	
2016:1:2:7:EAST	0	2	13	28	8	1	59	0	53	18	0	48	
2016:1:2:7:HUALIAN	0	1	9	11	5	0	25	0	18	14	0	16	
2016:1:2:7:NORTH	2	2	6	18	2	1	32	0	23	18	0	42	
2016:1:2:7:OFFICE	0	0	0	1	0	0	1	0	2	0	0	5	
2016:1:2:7:SOUTH	1	1	11	33	8	8	55	0	45	28	0	61	
2016:1:2:7:TAIDONG	1	0	13	27	1	0	48	0	25	13	0	42	
2016:1:2:7:TAOYUAN	2	3	15	35	6	1	84	0	52	35	0	68	
2016:1:2:7:WEST	1	5	9	19	4	0	40	0	47	18	0	68	
2016:1:2:7:XINZHU	8	2	14	20	3	0	53	0	45	29	0	57	
2016:1:2:7:ZHUNAN	1	2	6	15	4	0	32	0	28	20	0	37	
2016:1:4:7:CENTRAL	4	2	11	20	6	0	47	8	66	40	0	146	
2016:1:4:7:EAST	0	2	16	33	18	1	66	27	97	57	0	118	
2016:1:4:7:HUALIAN	0	1	12	14	3	1	36	7	48	36	0	70	
2016:1:4:7:NORTH	2	1	6	18	2	1	31	9	37	34	0	84	
2016:1:4:7:OFFICE	0	0	7	3	0	0	18	5	15	9	0	13	
2016:1:4:7:SOUTH	0	2	14	39	13	1	77	22	91	65	0	131	
2016:1:4:7:TAIDONG	0	2	14	27	3	0	51	17	43	28	0	76	
2016:1:4:7:TAOYUAN	2	2	19	34	4	1	84	18	89	67	0	154	
2016:1:4:7:WEST	0	5	12	24	4	2	52	16	75	46	0	121	
2016:1:4:7:XINZHU	5	2	14	19	4	3	49	12	66	36	0	84	
2016:1:4:7:ZHUNAN	1	0	5	12	6	3	27	9	41	29	0	59	
2016:1:5:7:CENTRAL	0	0	13	16	0	4	42	9	56	38	0	164	
2016:1:5:7:EAST	0	3	14	32	1	3	60	21	110	59	0	115	
2016:1:5:7:HUALIAN	0	0	11	12	0	0	39	11	41	29	0	67	
2016:1:5:7:NORTH	1	3	2	13	1	0	25	5	37	27	0	73	
2016:1:5:7:OFFICE	0	0	7	6	0	0	15	3	10	7	0	15	
2016:1:5:7:SOUTH	0	0	23	29	0	1	72	29	85	77	0	145	
2016:1:5:7:TAIDONG	1	2	17	18	3	0	43	16	46	24	0	86	
2016:1:5:7:TAOYUAN	3	1	19	30	2	2	81	18	84	53	0	147	
2016:1:5:7:WEST	0	3	13	31	0	3	58	17	62	50	0	137	
2016:1:5:7:XINZHU	1	2	19	23	2	2	53	20	68	35	0	105	
2016:1:5:7:ZHUNAN	1	0	5	17	1	2	28	16	42	24	0	63	
2016:2:1:7:CENTRAL	0	1	13	25	0	0	51	14	79	64	2	139	
2016:2:1:7:EAST	0	2	18	40	0	1	70	24	92	68	0	163	
2016:2:1:7:HUALIAN	0	1	8	15	0	0	34	10	35	26	1	47	
2016:2:1:7:NORTH	2	3	4	10	0	0	31	5	46	21	2	55	
2016:2:1:7:OFFICE	0	0	7	7	0	0	25	1	7	7	2	17	
2016:2:1:7:SOUTH	0	1	25	34	0	0	81	17	87	71	0	130	
2016:2:1:7:TAIDONG	0	2	15	19	1	1	40	6	33	21	0	81	
2016:2:1:7:TAOYUAN	3	0	15	32	0	1	82	15	85	57	0	171	
2016:2:1:7:WEST	1	3	17	26	0	0	58	13	71	43	1	118	
2016:2:1:7:XINZHU	1	3	18	22	0	0	51	12	58	51	0	126	
2016:2:1:7:ZHUNAN	1	1	7	8	0	0	22	6	42	23	0	80	
2016:2:2:7:CENTRAL	0	2	16	20	1	0	61	16	70	56	5	112	
2016:2:2:7:EAST	0	2	14	34	2	1	63	21	57	47	2	135	
2016:2:2:7:HUALIAN	1	2	13	14	2	0	37	12	37	26	4	52	
2016:2:2:7:NORTH	2	4	4	9	0	0	28	13	36	30	5	64	
2016:2:2:7:OFFICE	0	0	6	6	0	0	20	6	6	7	3	8	
2016:2:2:7:SOUTH	0	2	29	27	2	0	80	34	90	75	2	125	
2016:2:2:7:TAIDONG	2	2	13	18	2	0	40	9	26	32	4	65	
2016:2:2:7:TAOYUAN	2	1	9	35	1	1	80	28	57	68	5	145	
2016:2:2:7:WEST	1	5	15	24	1	0	58	24	40	33	3	66	
2016:2:2:7:XINZHU	2	4	12	22	3	0	44	18	44	34	4	86	
2016:2:2:7:ZHUNAN	0	2	5	2	1	2	13	9	40	21	4	69	
2016:2:3:7:CENTRAL	1	2	14	21	3	1	65	20	93	55	6	139	
2016:2:3:7:EAST	0	1	16	29	0	2	61	26	103	59	0	135	
2016:2:3:7:HUALIAN	1	2	10	15	1	2	40	10	39	40	1	79	
2016:2:3:7:NORTH	2	3	4	5	0	0	28	10	40	37	0	66	
2016:2:3:7:OFFICE	0	0	10	14	0	0	28	9	9	8	4	13	
2016:2:3:7:SOUTH	1	3	24	23	3	2	74	34	119	62	5	100	
2016:2:3:7:TAIDONG	0	2	16	11	2	1	32	12	45	31	0	83	
2016:2:3:7:TAOYUAN	0	2	16	27	1	1	78	34	104	79	2	119	
2016:2:3:7:WEST	1	3	14	29	2	2	68	27	73	57	8	89	
2016:2:3:7:XINZHU	3	2	12	24	4	2	46	20	70	46	1	93	
2016:2:3:7:ZHUNAN	0	4	6	6	1	0	19	11	43	29	1	81	
2016:2:4:7:CENTRAL	2	3	19	19	2	1	63	24	80	45	5	98	
2016:2:4:7:EAST	0	0	17	30	0	0	68	34	97	61	5	117	
2016:2:4:7:HUALIAN	0	2	9	22	0	2	42	14	44	25	5	54	
2016:2:4:7:NORTH	2	1	3	8	0	1	21	14	38	24	1	55	
2016:2:4:7:OFFICE	0	0	11	14	0	0	25	7	11	2	2	8	
2016:2:4:7:SOUTH	1	2	21	25	4	3	74	36	111	67	9	91	
2016:2:4:7:TAIDONG	0	2	14	10	2	2	30	19	38	27	4	75	
2016:2:4:7:TAOYUAN	2	3	12	30	2	1	79	30	86	63	8	120	
2016:2:4:7:WEST	1	3	14	29	1	1	60	23	71	38	8	94	
2016:2:4:7:XINZHU	0	4	11	17	2	3	32	16	64	50	2	86	
2016:2:4:7:ZHUNAN	0	2	6	14	2	1	28	12	50	35	5	69	
2016:3:1:7:CENTRAL	2	2	21	22	4	0	58	30	87	45	6	109	
2016:3:1:7:EAST	0	2	21	27	0	0	65	31	87	51	3	114	
2016:3:1:7:HUALIAN	1	1	8	12	1	0	40	8	42	29	1	57	
2016:3:1:7:NORTH	0	3	4	7	0	0	20	13	59	33	5	61	
2016:3:1:7:OFFICE	0	2	8	11	0	0	27	6	11	8	0	17	
2016:3:1:7:SOUTH	0	1	27	21	0	3	68	35	91	64	5	90	
2016:3:1:7:TAIDONG	0	1	13	18	0	2	37	23	48	25	4	78	
2016:3:1:7:TAOYUAN	1	3	13	34	3	2	83	35	97	64	6	99	
2016:3:1:7:WEST	1	4	14	29	1	0	57	15	83	41	6	79	
2016:3:1:7:XINZHU	1	1	12	10	1	0	31	20	67	45	1	97	
2016:3:1:7:ZHUNAN	0	2	9	18	1	1	35	16	49	33	0	56	
2016:3:2:7:CENTRAL	1	6	28	29	4	1	78	21	79	71	4	180	
2016:3:2:7:EAST	0	2	22	42	1	0	80	30	106	43	3	96	
2016:3:2:7:HUALIAN	0	0	12	16	0	1	42	9	31	28	2	44	
2016:3:2:7:NORTH	1	2	6	13	1	0	31	18	58	43	4	86	
2016:3:2:7:SOUTH	0	2	32	22	2	0	63	31	82	56	5	92	
2016:3:2:7:TAIDONG	1	1	15	17	1	0	36	18	39	30	0	82	
2016:3:2:7:TAOYUAN	0	3	19	26	1	3	78	26	84	47	10	109	
2016:3:2:7:WEST	0	0	17	22	1	1	43	16	58	43	5	70	
2016:3:2:7:XINZHU	0	2	13	11	0	1	30	14	54	30	0	73	
2016:3:2:7:ZHUNAN	0	2	10	13	0	1	33	10	39	16	4	47	
2016:3:3:7:CENTRAL	2	3	17	28	1	2	75	23	85	64	7	144	
2016:3:3:7:EAST	1	2	23	45	1	0	85	23	97	71	3	117	
2016:3:3:7:HUALIAN	0	0	12	14	0	0	38	9	41	47	0	79	
2016:3:3:7:NORTH	0	4	6	15	1	0	43	22	58	48	3	106	
2016:3:3:7:SOUTH	1	3	15	30	4	0	61	21	79	59	3	112	
2016:3:3:7:TAIDONG	2	1	14	17	2	1	37	22	45	25	0	66	
2016:3:3:7:TAOYUAN	0	1	17	30	0	1	76	37	102	75	7	127	
2016:3:3:7:UNKNOWN	2	2	15	41	2	0	75	29	83	63	3	108	
2016:3:3:7:WEST	1	1	21	19	0	0	54	26	68	57	5	83	
2016:3:3:7:XINZHU	1	4	10	16	2	0	35	25	61	53	2	98	
2016:3:3:7:ZHUNAN	1	2	9	14	4	0	27	14	48	23	0	50	
