		BAP_MISS_FIND	BAP_LA_REF	BAP_RC_REF	BAP_MEM_REF	BAP_ENGLISH	BAP_TOUR
2015:10:1:1:SANCHONG_S	1	0	0	0	0	0	0
2015:11:1:1:LUZHOU_1_E	1	0	0	0	0	0	0
2015:11:1:1:SANCHONG_E	1	0	0	0	0	0	0
2015:11:1:1:WANDA_E	1	0	0	0	0	0	0
2015:11:1:1:WANDA_S	1	0	0	0	0	0	0
2015:12:1:1:JINHUA_ZL	1	0	0	0	0	0	0
2015:12:1:1:LUZHOU_E	1	0	0	0	0	0	0
2015:12:1:1:SANCHONG_E	1	0	0	0	0	0	0
2015:12:1:1:XINAN_S	1	0	0	0	0	0	0
2016:2:1:7:BADE_B_E	+886972939022						
2016:2:1:7:OFFICE_E	+886910358944					1	
2016:2:1:7:TOUFEN_E	+886972576590						
2016:2:1:7:ZHUNAN_S	+886972576155						
2016:2:2:7:BADE_B_E	+886972939022	0	0	0	0	0	0
2016:2:2:7:OFFICE_E	+886910358944	1	0	0	0	0	0
2016:2:3:7:OFFICE_E	+886910358944	1	0	0	0	0	0
