		CLASSLEVEL	TOTALSTUDENTS	TOTALNONMEM	NEWSTUDENTS	NEWINV
2016:2:3:3:0:BADE_A_E	+886912576044	?	3	1	1	0
2016:2:3:3:0:BADE_B_E	+886972939022	0	0	0	0	0
2016:2:3:3:0:BADE_S	+886912576049	children	18	15	9	0
2016:2:3:3:0:BANQIAO_S	+886972961085	CHILD	15	15	10	0
2016:2:3:3:0:BEITOU_E	+886972576546	BEGINNER	4	3	3	0
2016:2:3:3:0:BEITOU_S	+886963790682	ADVANCED	3	2	1	1
2016:2:3:3:0:DANSHUI_A_E	+886912576043	intermediate	9	8	2	0
2016:2:3:3:0:DANSHUI_B_E	+886963938175	intermediateclass	9	1	2	1
2016:2:3:3:0:HUALIAN_1_S	+886972576512	intermediate	8	8	1	0
2016:2:3:3:0:HUALIAN_3_B_E	+886965118137	Advanced	6	5	0	0
2016:2:3:3:0:HUALIAN_3_S	+886972576591	Child	8	8	0	0
2016:2:3:3:0:JILONG_A_E	+886972576520	advance	1	0	0	0
2016:2:3:3:0:JILONG_B_E	+886972987783	beginning	11	10	0	1
2016:2:3:3:0:JINGXIN_S	+886972576573	children	5	4	3	0
2016:2:3:3:0:LONGTAN_E	+886972576560	advanced	10	8	2	0
2016:2:3:3:0:LUZHOU_B_E	+886965008522	CHILDRENS	12	3	2	0
2016:2:3:3:0:MUZHA_E	+886972576510	Beginner	4	3	1	0
2016:2:3:3:0:NEIHU_S	+886972576565	beginner	6	3	1	1
2016:2:3:3:0:NORTH_JINHUA_E	+886972576554	Children	5	4	3	0
2016:2:3:3:0:SANCHONG_E	+886963809216	beginner	12	8	3	2
2016:2:3:3:0:SANCHONG_S	+886972576587	intermediate	7	6	0	0
2016:2:3:3:0:SANXIA_A	+886963917982	ADVANCED	3	3	0	0
2016:2:3:3:0:SANXIA_B	+886972576153	INTERMEDIATE	7	7	0	0
2016:2:3:3:0:SHILIN_E	+886972576564	ADVANCED	13	10	5	1
2016:2:3:3:0:SHILIN_S	+886972576543	kids	3	2	0	0
2016:2:3:3:0:SONGSHAN_E	+886963938192	beginning	4	2	2	0
2016:2:3:3:0:TAIDONG_1_E	+886972576519	BEGINNER	9	8	1	0
2016:2:3:3:0:TAIDONG_3_E	+886965005802	Intermediate	13	10	1	0
2016:2:3:3:0:TAO_1_A	+886972576556	兒童	5	2	2	1
2016:2:3:3:0:TAO_2_S	+886963719073	intermediate	8	6	1	1
2016:2:3:3:0:TAO_3_E_ZL	+886972576524	children	0	0	0	0
2016:2:3:3:0:TAO_4_E	+886972576578	beginner	7	6	1	0
2016:2:3:3:0:TAO_4_S	+886972576377	Intermediate	14	14	2	0
2016:2:3:3:0:TIANMU_E	+886972576547	Beginnerintermediate	9	6	3	0
2016:2:3:3:0:TOUFEN_E	+886972576590	ERTONG	6	5	0	0
2016:2:3:3:0:TUCHENG_A_S	+886963536133	??	10	6	1	0
2016:2:3:3:0:TUCHENG_E	+886972576539	child	6	5	3	2
2016:2:3:3:0:XINBAN_E	+886972576506	intermediate	11	10	2	0
2016:2:3:3:0:XINDIAN_S	+886972576518	intermediate	6	5	2	0
2016:2:3:3:0:XINPU_E	+886972576504	ADVANCED	6	4	2	0
2016:2:3:3:0:XINPU_S	+886965113871	beginner	6	1	2	0
2016:2:3:3:0:XINZHU_1_E	+886972576526	??	10	10	2	0
2016:2:3:3:0:XINZHU_1_S	+886972576569	chuji	8	7	3	0
2016:2:3:3:0:XINZHU_3_S	+886963660292	ertongban	15	8	2	10
2016:2:3:3:0:XIZHI_A_E	+886972576509	intermediate	3	3	0	1
2016:2:3:3:0:XIZHI_B_E	+886972576156	Beginning	2	1	1	0
2016:2:3:3:0:XIZHI_S	+886963873617	children	4	3	1	0
2016:2:3:3:0:YILAN_E	+886972576558	ADVANCE	7	4	1	0
2016:2:3:3:0:YONGHE_S	+886972576513	child	19	19	10	1
2016:2:3:3:0:YULI_E	+886972576594	ADV	4	3	1	0
2016:2:3:3:0:ZHONGHE_1_E	+886972576514	INTERMEDIATE	10	9	2	0
2016:2:3:3:0:ZHONGHE_2_E	+886972576511	BEGGINER	7	6	2	0
2016:2:3:3:0:ZHONGHE_2_S	+886963535582	advance	6	2	1	1
2016:2:3:3:0:ZHONGLI_2_E	+886972576584	advance	17	13	2	0
2016:2:3:3:0:ZHUBEI_1_S	+886972576574	Advanced	5	4	2	10
2016:2:3:3:0:ZHUBEI_2_E	+886972576583	beginner	8	7	0	0
2016:2:3:3:0:ZHUBEI_2_S	+886972576540	intermediate	4	3	1	1
2016:2:3:3:0:ZHUDONG_E	+886972576528	ADV	4	4	0	0
