		CLASS_LEVEL	TOTAL_STUDENTS	TOTAL_NONMEMBERS	NEW_STUDENTS	NEW_INVESTIGATORS
2016:2:3:3:BADE	+886912576044	?	21	16	10	0
2016:2:3:3:BEITOU	+886972576546	BEGINNER	7	5	4	1
2016:2:3:3:DANSHUI	+886912576043	intermediate	18	9	4	1
2016:2:3:3:HUALIAN	+886972576512	intermediate	22	21	1	0
2016:2:3:3:JILONG	+886972576520	advance	12	10	0	1
2016:2:3:3:LONGTAN	+886972576560	advanced	10	8	2	0
2016:2:3:3:MUZHA	+886972576510	Beginner	4	3	1	0
2016:2:3:3:NEIHU	+886972576565	beginner	6	3	1	1
2016:2:3:3:SANCHONG	+886965008522	CHILDRENS	31	17	5	2
2016:2:3:3:SANXIA	+886963917982	ADVANCED	10	10	0	0
2016:2:3:3:SHILIN	+886972576564	ADVANCED	25	18	8	1
2016:2:3:3:SHUANGHE	+886972576513	child	42	36	15	2
2016:2:3:3:SONGSHAN	+886963938192	beginning	4	2	2	0
2016:2:3:3:TAIDONG	+886972576519	BEGINNER	22	18	2	0
2016:2:3:3:TAOYUAN_1_2	+886972576556	兒童	13	8	3	1
2016:2:3:3:TAOYUAN_3	+886972576524	children	21	20	3	0
2016:2:3:3:TOUFEN	+886972576590	ERTONG	6	5	0	0
2016:2:3:3:TUCHENG	+886963536133	??	16	11	4	2
2016:2:3:3:WANDA	+886972576554	Children	5	4	3	0
2016:2:3:3:XINBAN	+886972961085	CHILD	38	30	16	0
2016:2:3:3:XINDIAN	+886972576573	children	11	9	5	0
2016:2:3:3:XINZHU	+886972576526	??	33	25	7	10
2016:2:3:3:XIZHI	+886972576509	intermediate	9	7	2	1
2016:2:3:3:YILAN	+886972576558	ADVANCE	7	4	1	0
2016:2:3:3:YULI	+886972576594	ADV	4	3	1	0
2016:2:3:3:ZHONGLI	+886972576584	advance	17	13	2	0
2016:2:3:3:ZHUBEI	+886972576574	Advanced	17	14	3	1
2016:2:3:3:ZHUDONG	+886972576528	ADV	4	4	0	0
