		CLASS_LEVEL	TOTAL_STUDENTS	TOTAL_NONMEMBERS	NEW_STUDENTS	NEW_INVESTIGATORS
2016:1:2:7:ANKANG_E	+886972576529	Advanced	0	0	0	0
2016:1:2:7:BADE_A_E	+886912576044	Beginner	0	2	0	3
2016:1:2:7:BADE_B_E	+886972939022	Intermediate	0	1	3	4
2016:1:2:7:BADE_S	+886912576049	Children	1	0	0	2
2016:1:2:7:BANQIAO_S	+886972961085	Advanced	0	0	0	1
2016:1:2:7:BEITOU_E	+886972576546	Beginner	0	0	0	1
2016:1:2:7:BEITOU_S	+886963790682	Intermediate	0	0	3	3
2016:1:2:7:DANFENG_E	+886972576517	Children	0	3	3	3
2016:1:2:7:DANSHUI_E	+886963938175	Advanced	1	1	1	3
2016:1:2:7:GUISHAN_E	+886972576585	Beginner	0	0	3	1
2016:1:2:7:HUALIAN_1_E	+886972576536	Intermediate	0	0	2	4
2016:1:2:7:HUALIAN_3_A_E	+886963832102	Children	0	0	2	1
2016:1:2:7:HUALIAN_3_B_E	+886965118137	Advanced	0	0	4	4
2016:1:2:7:JIAN_E	+886972576592	Beginner	0	1	1	2
2016:1:2:7:JILONG_A_E	+886972576520	Intermediate	0	0	2	4
2016:1:2:7:JILONG_B_E	+886972987783	Children	0	0	0	3
2016:1:2:7:JINGXIN_E	+886972576508	Advanced	0	0	1	3
2016:1:2:7:JINGXIN_S	+886972576573	Beginner	0	0	0	0
2016:1:2:7:LONGTAN_E	+886972576560	Intermediate	0	0	0	2
2016:1:2:7:LUODONG_A_E	+886963917870	Children	0	0	0	0
2016:1:2:7:LUODONG_B_E	+886963912027	Advanced	0	0	0	5
2016:1:2:7:LUZHOU_E	+886972576542	Beginner	1	0	3	1
2016:1:2:7:MIAOLI_A_E	+886963537337	Intermediate	0	0	1	2
2016:1:2:7:MIAOLI_B_E	+886963911267	Children	0	0	2	2
2016:1:2:7:MUZHA_E	+886972576510	Advanced	0	0	1	4
2016:1:2:7:MUZHA_S	+886963796383	Beginner	0	0	1	5
2016:1:2:7:NANKAN_E	+886963731605	Intermediate	0	0	0	1
2016:1:2:7:NANKAN_S	+886972576377	Children	0	0	3	2
