		CLASS_LEVEL	TOTAL_STUDENTS	TOTAL_NONMEMBERS	NEW_STUDENTS	NEW_INVESTIGATORS
2016:2:1:3:ANKANG	+886972576529	Beginners	3	2	0	0
2016:2:1:3:BADE	+886912576044	0	11	5	0	0
2016:2:1:3:BEITOU	+886972576546	Advanced	11	5	3	1
2016:2:1:3:DANSHUI	+886963938175	intermediate	class	8	7	2
2016:2:1:3:HUALIAN	+886972576536	0	15	12	5	0
2016:2:1:3:JILONG	+886972576520	children	14	11	1	0
2016:2:1:3:LONGTAN	+886972576560	beginner	3	2	0	0
2016:2:1:3:MIAOLI	+886963537337	beginner	and	intermediate	4	1
2016:2:1:3:MUZHA	+886972576510	Beginner	6	4	2	0
2016:2:1:3:NEIHU	+886972576570	int	6	6	0	0
2016:2:1:3:NONE	+886910358944	ADVANCED	20	16	5	0
2016:2:1:3:SANCHONG	+886972576542	advanced	25	18	4	1
2016:2:1:3:SANXIA	+886963917982	Child	7	7	1	0
2016:2:1:3:SHILIN	+886972576564	Advanced	13	14	6	2
2016:2:1:3:SHUANGHE	+886972576513	Child	23	20	3	0
2016:2:1:3:SONGSHAN	+886963938192	advanced	beginner	23	10	4
2016:2:1:3:TAIDONG	+886972576596	Children's	25	21	11	2
2016:2:1:3:TAOYUAN_1_2	+886972576585	beginner	22	10	0	0
2016:2:1:3:TAOYUAN_3	+886963731605	advanced	32	26	9	2
2016:2:1:3:TOUFEN	+886972576590	kids	3	2	0	0
2016:2:1:3:TUCHENG	+886963536133	intermediate	19	13	3	2
2016:2:1:3:WANDA	+886972576554	Children	29	28	9	1
2016:2:1:3:XINBAN	+886972961085	CHILDRENS	23	15	1	0
2016:2:1:3:XINDIAN	+886972576573	children	12	11	4	0
2016:2:1:3:XINZHU	+886972576526	intermediate	12	8	15	12
2016:2:1:3:XINZHUANG	+886972576517	BEG	11	9	1	0
2016:2:1:3:XIZHI	+886972576509	intermediate	11	6	1	0
2016:2:1:3:YILAN	+886963917870	beginning	11	6	3	0
2016:2:1:3:YULI	+886972576594	Advanced	3	3	3	1
2016:2:1:3:ZHONGLI	+886972576568	beginner	10	9	1	1
2016:2:1:3:ZHUBEI	+886972576540	intermediate	21	17	2	2
2016:2:1:3:ZHUDONG	+886972576528	ADV	4	6	5	1
2016:2:1:3:ZHUNAN	+886912576011	extra	kids	9	10	0
