		A	B	C	D	NEXTWEEKBAP	BAP	CONF	BD	SAC	PK	OL	NIMISSFIND	NIMEMREF	RCLA	LAC	RCT
2016:1:0:0:CENTRAL	+886972576542	7	6	49	64	7	4	4	173	25	184	428	115	0	86	13	3
2016:1:0:0:EAST	+886972576520	0	7	43	93	27	5	4	185	48	260	281	134	0	137	31	1
2016:1:0:0:HSINCHU	+886963537337	17	8	63	106	20	10	7	242	57	290	405	173	0	162	41	1
2016:1:0:0:HUALIEN	+886972576536	2	6	76	109	15	1	1	242	51	221	357	144	0	119	29	8
2016:1:0:0:NORTH	+886972576546	5	6	14	49	5	1	1	88	14	97	199	79	0	68	17	0
2016:1:0:0:SOUTH	+886972576529	1	3	48	101	21	10	2	204	51	221	337	170	0	92	26	0
2016:1:0:0:TAOYUAN	+886912576044	7	6	53	99	12	4	3	249	36	225	369	155	0	142	21	1
2016:1:0:0:WEST	+886972961085	1	13	34	74	8	5	5	150	33	184	326	114	0	102	30	0
2016:2:0:0:CENTRAL	+886972576500	1	5	66	93	4	1	1	250	66	264	428	199	21	127	28	7
2016:2:0:0:EAST	+886972576520	0	5	48	103	2	4	4	194	71	252	433	174	2	155	44	3
2016:2:0:0:HSINCHU	+886963537337	7	16	60	84	9	4	4	195	75	297	535	204	10	200	70	3
2016:2:0:0:HUALIEN	+886972576536	4	11	75	92	8	4	4	223	59	215	407	176	10	126	49	1
2016:2:0:0:NORTH	+886972576546	6	10	12	24	0	0	0	87	28	122	185	88	7	70	23	1
2016:2:0:0:SOUTH	+886972576529	1	6	78	84	5	2	2	235	85	296	355	208	7	138	53	2
2016:2:0:0:TAOYUAN	+886912576044	5	3	40	94	2	3	2	240	77	246	435	204	7	140	62	0
2016:2:0:0:WEST	+886972961085	3	11	46	79	3	2	2	184	64	184	273	133	12	138	46	2
