	A	B	C	D	NEXTWEEKBAP	BAP	CONF	BD	SAC	PK	OL	NIMISSFIND	NIMEMREF	RCLA	LAC	RCT
2016:1:0:0:BADE	4	5	13	26	7	1	1	72	11	66	75	41	0	48	7	1
2016:1:0:0:BANQIAO	1	2	13	27	5	2	2	56	12	100	133	28	0	31	7	0
2016:1:0:0:BEITOU	5	5	12	28	4	0	0	62	11	68	101	49	0	49	13	0
2016:1:0:0:HUALIAN	0	0	18	21	3	1	1	51	7	43	65	37	0	29	6	3
2016:1:0:0:JIAN	0	2	14	16	5	0	0	49	11	64	88	42	0	38	5	0
2016:1:0:0:JILONG	0	1	6	24	7	0	0	31	12	42	20	17	0	57	10	1
2016:1:0:0:JINGXIN	0	0	17	40	17	8	0	71	21	70	147	79	0	25	7	0
2016:1:0:0:OFFICE	0	0	14	10	0	0	0	34	8	27	33	16	0	11	2	0
2016:1:0:0:SANCHONG	3	1	18	9	2	2	2	36	9	62	65	27	0	33	6	3
2016:1:0:0:SHILIN	0	1	2	21	1	1	1	26	3	29	98	30	0	19	4	0
2016:1:0:0:SHUANGHE	1	3	25	35	1	2	2	101	17	84	129	59	0	37	13	0
2016:1:0:0:SONGSHAN	0	0	26	26	2	3	2	61	11	81	57	29	0	31	13	0
2016:1:0:0:TAIDONG	2	4	35	44	6	0	0	105	29	92	127	44	0	40	13	5
2016:1:0:0:TAIDONG_1_3	0	4	15	23	4	0	0	62	14	39	80	22	0	28	8	2
2016:1:0:0:TAIDONG_2	2	0	20	21	2	0	0	43	15	53	47	22	0	12	5	3
2016:1:0:0:TAOYUAN	0	0	11	3	0	2	1	30	1	17	21	6	0	6	0	0
2016:1:0:0:TAOYUAN_1_2	3	0	10	12	3	0	0	29	8	32	78	22	0	28	5	0
2016:1:0:0:TAOYUAN_3	0	1	14	35	2	1	1	62	7	66	129	61	0	20	5	0
2016:1:0:0:TAOYUAN_4	0	0	0	5	0	0	0	5	0	7	13	6	0	1	0	0
2016:1:0:0:TAOYUAN_5	0	0	6	10	0	0	0	17	1	10	32	8	0	4	1	0
2016:1:0:0:TAOYUAN_6	0	1	7	6	2	1	1	16	3	25	41	18	0	12	4	0
2016:1:0:0:TOUFEN_MIAOLI	1	1	9	15	3	4	1	32	12	46	38	20	0	25	6	0
2016:1:0:0:TUCHENG	0	5	9	33	3	1	1	57	14	57	164	73	0	46	17	0
2016:1:0:0:WANDA	4	5	17	45	5	2	2	103	8	95	330	72	0	42	5	0
2016:1:0:0:XINDIAN	0	0	6	26	3	0	0	32	13	67	61	32	0	30	6	0
2016:1:0:0:XINZHU	4	3	26	25	1	1	1	84	18	84	126	50	0	38	17	0
2016:1:0:0:XINZHUANG	0	6	12	14	0	2	2	37	7	27	29	13	0	25	6	0
2016:1:0:0:XIZHI	0	5	6	15	7	2	2	32	12	70	93	36	0	25	4	0
2016:1:0:0:YILAN	0	1	5	28	11	0	0	61	13	67	111	52	0	24	4	0
2016:1:0:0:YULI	0	0	9	28	1	0	0	37	4	22	77	21	0	12	5	0
2016:1:0:0:ZHONGLI	0	0	5	23	0	0	0	56	9	44	66	25	0	40	4	0
2016:1:0:0:ZHUBEI	6	3	15	21	4	3	3	45	9	65	98	42	0	43	3	0
2016:1:0:0:ZHUDONG	4	0	6	16	4	1	1	26	5	30	22	8	0	28	13	1
2016:1:0:0:ZHUNAN	2	1	7	29	8	1	1	55	13	65	121	53	0	28	2	0
2016:2:0:0:BADE	3	0	6	30	1	3	2	60	27	68	69	54	2	55	19	0
2016:2:0:0:BANQIAO	3	7	17	30	2	1	1	76	27	63	125	40	7	40	13	1
2016:2:0:0:BEITOU	6	10	11	20	0	0	0	65	22	92	95	53	6	48	16	0
2016:2:0:0:HUALIAN	1	1	18	21	0	0	0	47	7	46	64	43	1	27	3	0
2016:2:0:0:JIAN	1	4	13	23	3	2	2	64	25	65	114	49	5	35	17	1
2016:2:0:0:JILONG	0	2	4	32	1	1	1	38	21	41	36	21	0	48	16	0
2016:2:0:0:JINGXIN	1	4	24	30	3	1	1	87	34	89	129	88	0	34	13	0
2016:2:0:0:OFFICE	0	0	23	27	0	0	0	73	16	22	38	24	8	21	9	0
2016:2:0:0:SANCHONG	0	1	12	23	1	0	0	54	16	94	124	70	5	43	5	4
2016:2:0:0:SHILIN	0	0	1	4	0	0	0	22	6	30	90	35	1	22	7	1
2016:2:0:0:SHUANGHE	0	0	30	26	0	0	0	93	26	118	133	65	4	65	29	2
2016:2:0:0:SONGSHAN	0	0	32	36	0	1	1	71	19	84	103	54	2	53	18	2
2016:2:0:0:TAIDONG	2	4	20	27	3	1	1	60	13	51	89	30	4	30	11	0
2016:2:0:0:TAIDONG_1_3	1	6	12	12	2	0	0	41	15	44	96	30	1	32	13	0
2016:2:0:0:TAIDONG_2	1	0	20	20	3	2	2	41	8	44	55	21	3	15	7	0
2016:2:0:0:TAOYUAN	0	0	3	2	0	0	0	11	5	18	51	15	0	3	1	0
2016:2:0:0:TAOYUAN_1_2	2	3	11	5	1	0	0	40	18	51	101	35	2	25	13	0
2016:2:0:0:TAOYUAN_3	0	0	9	43	0	0	0	62	11	54	147	62	0	29	16	0
2016:2:0:0:TOUFEN_MIAOLI	1	4	8	9	0	1	1	26	18	58	81	28	2	31	16	0
2016:2:0:0:TUCHENG	0	1	17	39	1	1	1	77	32	88	107	78	5	76	29	1
2016:2:0:0:WANDA	1	4	31	43	3	1	1	123	34	148	266	105	8	63	14	3
2016:2:0:0:XINDIAN	0	2	24	28	2	1	1	55	25	89	93	55	3	39	11	0
2016:2:0:0:XINZHU	0	4	20	29	1	1	1	69	24	58	164	77	1	46	16	0
2016:2:0:0:XINZHUANG	0	3	12	10	0	0	0	31	5	33	41	15	0	22	4	0
2016:2:0:0:XIZHI	0	1	6	16	1	1	1	39	11	56	132	45	0	22	6	1
2016:2:0:0:YILAN	0	2	6	19	0	1	1	46	20	71	162	54	0	32	4	0
2016:2:0:0:YULI	0	0	12	16	0	0	0	30	4	16	78	33	0	17	9	0
2016:2:0:0:ZHONGLI	0	0	11	14	0	0	0	67	16	55	67	38	3	28	13	0
2016:2:0:0:ZHUBEI	4	4	16	26	5	0	0	50	17	71	116	43	1	43	13	1
2016:2:0:0:ZHUDONG	2	1	6	13	1	1	1	22	8	43	25	11	3	36	19	2
2016:2:0:0:ZHUNAN	0	3	10	7	2	1	1	28	8	67	149	45	3	44	6	0
