		A	B	C	D	NEXTWEEKBAP	BAP	CON	BD	SAC	PK	OL	NIMISSFIND	NIMEMREF	RCLA	LAC	RCT
2016:1:2:7:ANKANG_E	+886972576529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2016:1:2:7:BADE_A_E	+886912576044	0	2	0	3	2	0	0	8	0	6	2	4	0	4	0	0
2016:1:2:7:BADE_B_E	+886972939022	0	1	3	4	1	0	0	12	0	3	1	1	0	1	0	0
2016:1:2:7:BADE_S	+886912576049	1	0	0	2	1	0	0	3	0	2	4	3	0	1	0	0
2016:1:2:7:BANQIAO_S	+886972961085	0	0	0	1	0	0	0	1	0	2	17	2	0	1	0	0
2016:1:2:7:BEITOU_E	+886972576546	0	0	0	1	0	0	0	1	0	3	2	2	0	4	0	0
2016:1:2:7:BEITOU_S	+886963790682	0	0	3	3	0	0	0	10	0	9	6	4	0	4	0	0
2016:1:2:7:DANFENG_E	+886972576517	0	3	3	3	0	0	0	9	0	3	0	0	0	3	0	0
2016:1:2:7:DANSHUI_E	+886963938175	1	1	1	3	1	0	0	6	0	4	4	2	0	0	0	0
2016:1:2:7:GUISHAN_E	+886972576585	0	0	3	1	0	1	0	13	0	3	5	1	0	0	0	0
2016:1:2:7:HUALIAN_1_E	+886972576536	0	0	2	4	1	0	0	7	0	6	5	3	0	3	0	0
2016:1:2:7:HUALIAN_3_A_E	+886963832102	0	0	2	1	1	0	0	4	0	3	4	4	0	0	0	0
2016:1:2:7:HUALIAN_3_B_E	+886965118137	0	0	4	4	1	0	0	8	0	4	3	3	0	4	0	0
2016:1:2:7:JIAN_E	+886972576592	0	1	1	2	2	0	0	6	0	5	4	4	0	5	0	0
2016:1:2:7:JILONG_A_E	+886972576520	0	0	2	4	3	0	0	6	0	6	5	3	0	3	0	0
2016:1:2:7:JILONG_B_E	+886972987783	0	0	0	3	0	0	0	3	0	2	3	0	0	14	0	0
2016:1:2:7:JINGXIN_E	+886972576508	0	0	1	3	6	8	0	0	0	6	10	6	0	1	0	0
2016:1:2:7:JINGXIN_S	+886972576573	0	0	0	0	0	0	0	0	0	3	5	1	0	0	0	0
2016:1:2:7:LONGTAN_E	+886972576560	0	0	0	2	0	0	0	4	0	4	3	0	0	2	0	0
2016:1:2:7:LUODONG_A_E	+886963917870	0	0	0	0	2	0	0	4	0	6	3	3	0	0	0	0
2016:1:2:7:LUODONG_B_E	+886963912027	0	0	0	5	1	0	0	7	0	3	6	2	0	3	0	0
2016:1:2:7:LUZHOU_E	+886972576542	1	0	3	1	0	0	0	5	0	5	1	0	0	4	0	1
2016:1:2:7:MIAOLI_A_E	+886963537337	0	0	1	2	1	0	0	3	0	6	2	1	0	2	0	0
2016:1:2:7:MIAOLI_B_E	+886963911267	0	0	2	2	0	0	0	4	0	3	0	1	0	2	0	0
2016:1:2:7:MUZHA_E	+886972576510	0	0	1	4	0	0	0	7	0	6	7	3	0	2	0	0
2016:1:2:7:MUZHA_S	+886963796383	0	0	1	5	0	0	0	6	0	4	3	1	0	0	0	0
2016:1:2:7:NANKAN_E	+886963731605	0	0	0	1	0	0	0	1	0	1	4	1	0	0	0	0
