		A	B	C	D	NEXTWEEKBAP	BAP	CONF	BD	SAC	PK	OL	NIMISSFIND	NIMEMREF	RCLA	LAC	RCT
2016:1:0:0:BADE	+886912576044	4	5	13	26	7	1	1	72	11	66	75	41	0	48	7	1
2016:1:0:0:BANQIAO	+886972961085	1	2	13	27	5	2	2	56	12	100	133	28	0	31	7	0
2016:1:0:0:BEITOU	+886972576546	5	5	12	28	4	0	0	62	11	68	101	49	0	49	13	0
2016:1:0:0:HUALIAN	+886963832102	0	0	18	21	3	1	1	51	7	43	65	37	0	29	6	3
2016:1:0:0:JIAN	+886972576536	0	2	14	16	5	0	0	49	11	64	88	42	0	38	5	0
2016:1:0:0:JILONG	+886972576520	0	1	6	24	7	0	0	31	12	42	20	17	0	57	10	1
2016:1:0:0:JINGXIN	+886972576508	0	0	17	40	17	8	0	71	21	70	147	79	0	25	7	0
2016:1:0:0:OFFICE	+886910358944	0	0	14	10	0	0	0	34	8	27	33	16	0	11	2	0
2016:1:0:0:SANCHONG	+886972576542	3	1	18	9	2	2	2	36	9	62	65	27	0	33	6	3
2016:1:0:0:SHILIN	+886972576564	0	1	2	21	1	1	1	26	3	29	98	30	0	19	4	0
2016:1:0:0:SHUANGHE	+886972576513	1	3	25	35	1	2	2	101	17	84	129	59	0	37	13	0
2016:1:0:0:SONGSHAN	+886972576565	0	0	26	26	2	3	2	61	11	81	57	29	0	31	13	0
2016:1:0:0:TAIDONG	+886972576519	2	4	35	44	6	0	0	105	29	92	127	44	0	40	13	5
2016:1:0:0:TAIDONG_1_3	+886972576519	0	4	15	23	4	0	0	62	14	39	80	22	0	28	8	2
2016:1:0:0:TAIDONG_2	+886972576593	2	0	20	21	2	0	0	43	15	53	47	22	0	12	5	3
2016:1:0:0:TAOYUAN	+886972576585	3	0	21	15	3	2	1	59	9	49	99	28	0	34	5	0
2016:1:0:0:TAOYUAN_1_2	+886972576556	3	0	10	12	3	0	0	29	8	32	78	22	0	28	5	0
2016:1:0:0:TAOYUAN_3	+886972576524	0	0	1	14	0	0	0	24	3	24	43	29	0	3	0	0
2016:1:0:0:TAOYUAN_4	+886963731605	0	0	0	5	0	0	0	5	0	7	13	6	0	1	0	0
2016:1:0:0:TAOYUAN_5	+886972576578	0	0	6	10	0	0	0	17	1	10	32	8	0	4	1	0
2016:1:0:0:TAOYUAN_6	+886972576377	0	1	7	6	2	1	1	16	3	25	41	18	0	12	4	0
2016:1:0:0:TOUFEN/MIAOLI	+886963537337	1	1	9	15	3	4	1	32	12	46	38	20	0	25	6	0
2016:1:0:0:TUCHENG	+886972576153	0	5	9	33	3	1	1	57	14	57	164	73	0	46	17	0
2016:1:0:0:WANDA	+886972576554	4	5	17	45	5	2	2	103	8	95	330	72	0	42	5	0
2016:1:0:0:XINDIAN	+886972576529	0	0	6	26	3	0	0	32	13	67	61	32	0	30	6	0
2016:1:0:0:XINZHU	+886972576526	4	3	26	25	1	1	1	84	18	84	126	50	0	38	17	0
2016:1:0:0:XINZHUANG	+886972576517	0	6	12	14	0	2	2	37	7	27	29	13	0	25	6	0
2016:1:0:0:XIZHI	+886972576509	0	5	6	15	7	2	2	32	12	70	93	36	0	25	4	0
2016:1:0:0:YILAN	+886963917870	0	1	5	28	11	0	0	61	13	67	111	52	0	24	4	0
2016:1:0:0:YULI	+886972576594	0	0	9	28	1	0	0	37	4	22	77	21	0	12	5	0
2016:1:0:0:ZHONGLI	+886972576581	0	0	5	23	0	0	0	56	9	44	66	25	0	40	4	0
2016:1:0:0:ZHUBEI	+886972576582	6	3	15	21	4	3	3	45	9	65	98	42	0	43	3	0
2016:1:0:0:ZHUDONG	+886972576528	4	0	6	16	4	1	1	26	5	30	22	8	0	28	13	1
2016:1:0:0:ZHUNAN	+886912576011	2	1	7	29	8	1	1	55	13	65	121	53	0	28	2	0
2016:2:0:0:BADE	+886912576044	3	0	3	20	1	2	2	42	17	43	55	35	2	40	13	0
2016:2:0:0:BANQIAO	+886972961085	2	5	12	19	0	0	0	47	16	37	86	20	1	24	7	0
2016:2:0:0:BEITOU	+886972576546	4	7	7	16	0	0	0	47	13	60	60	31	6	32	11	0
2016:2:0:0:HUALIAN	+886963832102	0	1	13	13	0	0	0	30	6	29	33	22	0	17	0	0
2016:2:0:0:JIAN	+886972576536	1	2	8	16	2	0	0	41	16	43	66	30	5	22	11	0
2016:2:0:0:JILONG	+886972576520	0	2	2	21	1	0	0	25	15	23	21	13	0	29	13	0
2016:2:0:0:JINGXIN	+886972576508	0	2	20	19	1	0	0	59	22	52	89	61	0	23	8	0
2016:2:0:0:OFFICE	+886972576500	0	0	13	13	0	0	0	45	7	13	25	14	5	15	7	0
2016:2:0:0:SANCHONG	+886972576542	0	1	8	16	0	0	0	35	13	62	79	45	1	25	3	3
2016:2:0:0:SHILIN	+886972576564	0	0	1	3	0	0	0	12	5	22	59	20	1	12	4	0
2016:2:0:0:SHUANGHE	+886972576513	0	0	19	21	0	0	0	66	15	64	99	46	1	42	17	0
2016:2:0:0:SONGSHAN	+886972576570	0	0	21	27	0	1	1	49	11	53	70	33	2	34	8	1
